Category,Krabi
0:00,77.1
0:15,76.83
0:30,76.89
0:45,76.66
1:00,76.38
1:15,76.93
1:30,72
1:45,71.59
2:00,71.63
2:15,71.85
2:30,71.71
2:45,71.56
3:00,72.29
3:15,69.91
3:30,69.94
3:45,69.92
4:00,69.94
4:15,69.9
4:30,70.58
4:45,70.89
5:00,66.51
5:15,72.73
5:30,73.53
5:45,73.96
6:00,73.61
6:15,79.05
6:30,79.39
6:45,79.41
7:00,79.6
7:15,78.78
7:30,78.52
7:45,78.45
8:00,76.74
8:15,76.49
8:30,76.74
8:45,80.47
9:00,80.37
9:15,78.19
9:30,74.76
9:45,74.78
10:00,79.31
10:15,78.99
10:30,80.33
10:45,79.34
11:00,79.12
11:15,78.87
11:30,81.95
11:45,80.6
12:00,80.61
12:15,80.37
12:30,80.24
12:45,80.78
13:00,79.75
13:15,79.8
13:30,80.7
13:45,81.26
14:00,85.34
14:15,85.35
14:30,85.28
14:45,85.25
15:00,84.93
15:15,85
15:30,85.11
15:45,84.55
16:00,85.34
16:15,86.98
16:30,86.91
16:45,87.75
17:00,88.19
17:15,87.97
17:30,88.7
17:45,85.63
18:00,86
18:15,87.64
18:30,88.1
18:45,91.82
19:00,91.54
19:15,91.49
19:30,91.47
19:45,91.07
20:00,90
20:15,88.52
20:30,87.97
20:45,87.88
21:00,87.97
21:15,87.46
21:30,88.75
21:45,88.48
22:00,86.23
22:15,88.01
22:30,87.92
22:45,87.63
23:00,82.33
23:15,82.21
23:30,82.1
23:45,81.76
