Category,Krabi
0:00,61.8
0:15,61.93
0:30,57.94
0:45,57.45
1:00,57.17
1:15,57.46
1:30,57.32
1:45,57.24
2:00,57.32
2:15,53.01
2:30,54.11
2:45,54.33
3:00,54.42
3:15,54.7
3:30,54.23
3:45,54.24
4:00,54.28
4:15,54.26
4:30,54.4
4:45,54.47
5:00,54.78
5:15,55.27
5:30,55.47
5:45,56.12
6:00,56.1
6:15,56.2
6:30,57.49
6:45,57.65
7:00,57.16
7:15,56.93
7:30,56.7
7:45,55.73
8:00,55.46
8:15,60.09
8:30,59.99
8:45,60.11
9:00,64.03
9:15,62.68
9:30,60.41
9:45,64.71
10:00,63.7
10:15,64.42
10:30,64.36
10:45,64.29
11:00,64.34
11:15,64.38
11:30,64.24
11:45,64.54
12:00,63.59
12:15,65.1
12:30,64.92
12:45,65.07
13:00,65.42
13:15,65.36
13:30,65.79
13:45,65.6
14:00,65.8
14:15,69.7
14:30,69.22
14:45,68.55
15:00,68.84
15:15,68.75
15:30,69.29
15:45,69
16:00,67.96
16:15,63
16:30,65.63
16:45,62.99
17:00,62.91
17:15,62.98
17:30,62.95
17:45,63.38
18:00,63.79
18:15,64.7
18:30,70.4
18:45,71.09
19:00,76.09
19:15,74.98
19:30,75.07
19:45,74.72
20:00,74.24
20:15,73.22
20:30,73.02
20:45,72.44
21:00,72.46
21:15,68.07
21:30,67.99
21:45,67.8
22:00,67.43
22:15,69.36
22:30,69.14
22:45,68.81
23:00,64.66
23:15,64.36
23:30,64.26
23:45,64.19
