Category,Krabi
0:00,28.3
0:15,28.3
0:30,28.3
0:45,28.3
1:00,28.3
1:15,28.3
1:30,28.3
1:45,28.3
2:00,28.3
2:15,28.3
2:30,28.3
2:45,28.3
3:00,28.3
3:15,28.3
3:30,28.3
3:45,28.3
4:00,28.3
4:15,28.3
4:30,28.3
4:45,28.3
5:00,28.3
5:15,28.3
5:30,28.3
5:45,28.3
6:00,28.3
6:15,28.3
6:30,28.3
6:45,28.3
7:00,28.3
7:15,28.3
7:30,28.3
7:45,28.3
8:00,28.3
8:15,28.3
8:30,46.55
8:45,51.58
9:00,51.81
9:15,56.53
9:30,56.53
9:45,56.83
10:00,59.75
10:15,58.62
10:30,59.6
10:45,59.36
11:00,59.99
11:15,62.16
11:30,62.06
11:45,61.2
12:00,60.93
12:15,59.85
12:30,60.09
12:45,59.93
13:00,59.88
13:15,59.72
13:30,59.81
13:45,60.05
14:00,60.69
14:15,61.85
14:30,62.32
14:45,61.7
15:00,61.59
15:15,61.35
15:30,61.71
15:45,61.33
16:00,61.27
16:15,61.9
16:30,61.34
16:45,61.24
17:00,60.93
17:15,61.42
17:30,62.18
17:45,60.95
18:00,59.95
18:15,60.22
18:30,60.69
18:45,60.88
19:00,63.11
19:15,63.13
19:30,64.61
19:45,64.59
20:00,63.9
20:15,64.06
20:30,65.33
20:45,62.46
21:00,63.19
21:15,62.85
21:30,62.28
21:45,62.24
22:00,64.66
22:15,66.53
22:30,66.25
22:45,62.51
23:00,61.71
23:15,61.9
23:30,61.04
23:45,55.88
