Category,Krabi
0:00,45.39
0:15,48.08
0:30,47.97
0:45,47.98
1:00,47.66
1:15,43.37
1:30,44.13
1:45,43.32
2:00,43.32
2:15,43.05
2:30,43.01
2:45,43.12
3:00,44.33
3:15,44.26
3:30,44.41
3:45,44.13
4:00,43.68
4:15,44.68
4:30,43.83
4:45,43.95
5:00,44.2
5:15,44.26
5:30,43.96
5:45,45.63
6:00,46.97
6:15,47.86
6:30,48.47
6:45,48.06
7:00,47.84
7:15,47.2
7:30,46.9
7:45,50.83
8:00,48.29
8:15,51.71
8:30,51.74
8:45,51.89
9:00,54.57
9:15,51.36
9:30,50.01
9:45,50.96
10:00,52.02
10:15,52.32
10:30,52.42
10:45,52.52
11:00,52.44
11:15,54.17
11:30,53.78
11:45,54.1
12:00,53.97
12:15,52.65
12:30,52.2
12:45,52.62
13:00,49.65
13:15,49.75
13:30,50.04
13:45,52.02
14:00,51.62
14:15,52.92
14:30,53.49
14:45,54.09
15:00,54.86
15:15,53.73
15:30,54.18
15:45,54.67
16:00,54.95
16:15,53.41
16:30,53.72
16:45,54.16
17:00,53.01
17:15,54.39
17:30,49.93
17:45,49.66
18:00,49.85
18:15,49.8
18:30,50.17
18:45,54.53
19:00,54.85
19:15,56.93
19:30,55.42
19:45,55.35
20:00,54.36
20:15,55.87
20:30,55.76
20:45,56.07
21:00,54.59
21:15,53.95
21:30,54.01
21:45,53.56
22:00,53.5
22:15,50.47
22:30,50.4
22:45,55.41
23:00,52.75
23:15,49.44
23:30,49.3
23:45,48.73
