Category,Krabi
0:00,56.9
0:15,56.78
0:30,56.7
0:45,56.52
1:00,55.55
1:15,54.42
1:30,54.1
1:45,54.05
2:00,50.68
2:15,
2:30,49.79
2:45,49.63
3:00,51.27
3:15,49.96
3:30,49.81
3:45,49.82
4:00,49.56
4:15,49.68
4:30,49.68
4:45,49.81
5:00,49.92
5:15,50.58
5:30,52.1
5:45,52.41
6:00,53.01
6:15,53.12
6:30,52.95
6:45,52.51
7:00,51.84
7:15,51.58
7:30,51.54
7:45,51.3
8:00,51.58
8:15,56.21
8:30,57.3
8:45,60.79
9:00,60.73
9:15,58.78
9:30,59.12
9:45,62.61
10:00,63.2
10:15,63.55
10:30,63.76
10:45,63.38
11:00,61.16
11:15,63.03
11:30,63.05
11:45,62.83
12:00,64.15
12:15,62.73
12:30,62.65
12:45,62.91
13:00,62.47
13:15,62.17
13:30,62.22
13:45,62.29
14:00,62.88
14:15,63.19
14:30,62.29
14:45,61.12
15:00,59.92
15:15,59.41
15:30,59.14
15:45,58.92
16:00,59.07
16:15,59.27
16:30,59.07
16:45,59.15
17:00,59.85
17:15,
17:30,63.03
17:45,63.15
18:00,63.92
18:15,65.05
18:30,66.7
18:45,62.34
19:00,65.9
19:15,54.63
19:30,52.94
19:45,52.86
20:00,52.76
20:15,52.6
20:30,51.52
20:45,53
21:00,52.77
21:15,53.17
21:30,53.2
21:45,53.16
22:00,54.17
22:15,
22:30,54.46
22:45,54.2
23:00,54
23:15,48.09
23:30,49.3
23:45,47.49
