Category,Krabi
0:00,84.65
0:15,84.49
0:30,84.24
0:45,79.12
1:00,79.19
1:15,78.87
1:30,79.03
1:45,78.92
2:00,79.08
2:15,79.11
2:30,78.81
2:45,78.92
3:00,74.82
3:15,74.85
3:30,74.9
3:45,74.64
4:00,74.6
4:15,74.82
4:30,74.79
4:45,75.07
5:00,75.18
5:15,75.45
5:30,75.89
5:45,76.22
6:00,76.66
6:15,81.74
6:30,82.15
6:45,82.85
7:00,82.38
7:15,81.71
7:30,81.32
7:45,81.05
8:00,80.5
8:15,80.41
8:30,84.97
8:45,86.08
9:00,86.43
9:15,86.61
9:30,84.84
9:45,84.63
10:00,88.78
10:15,89.29
10:30,89.74
10:45,91.35
11:00,88.07
11:15,87.71
11:30,87.91
11:45,87.78
12:00,87.5
12:15,88.9
12:30,87.02
12:45,87.43
13:00,87.25
13:15,88.62
13:30,88.94
13:45,90.62
14:00,89.77
14:15,88.71
14:30,88.56
14:45,88.28
15:00,92.28
15:15,95.12
15:30,92.81
15:45,92.14
16:00,92.5
16:15,92.22
16:30,92.87
16:45,92.92
17:00,92.38
17:15,88.66
17:30,88.69
17:45,88.89
18:00,90.19
18:15,95.21
18:30,95.71
18:45,99.9
19:00,99.49
19:15,98.6
19:30,99.42
19:45,98.99
20:00,98.34
20:15,97.82
20:30,98
20:45,96.86
21:00,92.75
21:15,92.23
21:30,92.14
21:45,92.18
22:00,95.39
22:15,93.87
22:30,94.24
22:45,94.69
23:00,93.69
23:15,89.01
23:30,88.96
23:45,88.73
