Category,Krabi
0:00,77.53
0:15,77.6
0:30,77.24
0:45,77.24
1:00,77.31
1:15,72.54
1:30,72.42
1:45,72.41
2:00,72.47
2:15,72.63
2:30,72.75
2:45,72.53
3:00,72.63
3:15,72.68
3:30,72.64
3:45,72.67
4:00,72.66
4:15,72.69
4:30,72.51
4:45,72.6
5:00,73.72
5:15,74
5:30,74.1
5:45,74.86
6:00,75
6:15,75.48
6:30,75.9
6:45,75.98
7:00,75.9
7:15,75.54
7:30,75.38
7:45,74.82
8:00,74.16
8:15,78.05
8:30,78.5
8:45,78.43
9:00,78.73
9:15,76.22
9:30,78.04
9:45,77.19
10:00,77.78
10:15,78.06
10:30,77.76
10:45,77.86
11:00,77.79
11:15,77.43
11:30,77.43
11:45,78.38
12:00,78.37
12:15,77.47
12:30,77.44
12:45,77.52
13:00,78.27
13:15,80.15
13:30,79.25
13:45,79.59
14:00,79.24
14:15,80.16
14:30,80.14
14:45,80.61
15:00,80.43
15:15,80.7
15:30,81.2
15:45,81.2
16:00,81.02
16:15,81.36
16:30,81.5
16:45,80.47
17:00,80.38
17:15,80.41
17:30,80.68
17:45,80.26
18:00,82.97
18:15,82.76
18:30,88.13
18:45,88.49
19:00,88.37
19:15,88.17
19:30,89.18
19:45,87.91
20:00,87.76
20:15,87.35
20:30,83.36
20:45,83.05
21:00,82.92
21:15,82.51
21:30,82.27
21:45,79.44
22:00,82.33
22:15,84.82
22:30,84.53
22:45,83.53
23:00,79.1
23:15,79.02
23:30,79.1
23:45,78.81
