Category,Krabi
0:00,84.34
0:15,83.77
0:30,79.62
0:45,79.62
1:00,79.37
1:15,78.71
1:30,78.24
1:45,78.2
2:00,78.13
2:15,78.03
2:30,78.08
2:45,74.01
3:00,73.9
3:15,73.86
3:30,73.65
3:45,73.4
4:00,73.55
4:15,73.53
4:30,73.66
4:45,73.77
5:00,73.78
5:15,73.98
5:30,74.39
5:45,74.51
6:00,75.35
6:15,79.97
6:30,80.58
6:45,80.38
7:00,79.84
7:15,79.82
7:30,79.41
7:45,79
8:00,78.49
8:15,79.42
8:30,83.7
8:45,84.25
9:00,84.58
9:15,92.92
9:30,90.78
9:45,90.75
10:00,90.96
10:15,90.56
10:30,94.64
10:45,94.91
11:00,94.76
11:15,94.95
11:30,94.98
11:45,93.78
12:00,93.42
12:15,92.95
12:30,81.93
12:45,81.79
13:00,81.9
13:15,86.41
13:30,85.23
13:45,86.39
14:00,86.01
14:15,86.67
14:30,85.36
14:45,85.55
15:00,85.22
15:15,87.5
15:30,87.45
15:45,87.89
16:00,88.24
16:15,88.11
16:30,89.38
16:45,87.54
17:00,87.01
17:15,82.46
17:30,82.74
17:45,83.5
18:00,83.53
18:15,87.49
18:30,88.16
18:45,92.6
19:00,92.99
19:15,92.95
19:30,92.82
19:45,92.8
20:00,92.64
20:15,92.05
20:30,91.99
20:45,90.42
21:00,90.3
21:15,90.27
21:30,85.94
21:45,88.22
22:00,89.89
22:15,91.03
22:30,92.54
22:45,88
23:00,86.6
23:15,85.33
23:30,83.06
23:45,82.79
