Category,Krabi
0:00,63.28
0:15,58.76
0:30,58.4
0:45,58
1:00,57.82
1:15,58.27
1:30,53.79
1:45,53.75
2:00,54.41
2:15,54.13
2:30,54.32
2:45,54.45
3:00,54.35
3:15,54.14
3:30,54.43
3:45,54.22
4:00,54.03
4:15,54.08
4:30,53.91
4:45,53.76
5:00,53.64
5:15,53.91
5:30,54.29
5:45,54.45
6:00,54.59
6:15,54.94
6:30,55.52
6:45,55.7
7:00,55.23
7:15,46.8
7:30,41.24
7:45,44.13
8:00,43.79
8:15,45.22
8:30,45.07
8:45,49.04
9:00,49.01
9:15,48.92
9:30,53.39
9:45,53.54
10:00,54.52
10:15,54.54
10:30,54.4
10:45,56.12
11:00,55.93
11:15,56.15
11:30,56.05
11:45,56.46
12:00,56.87
12:15,57.14
12:30,57.23
12:45,57.27
13:00,56.87
13:15,56.66
13:30,61.34
13:45,61.01
14:00,62.13
14:15,61.94
14:30,61.81
14:45,62.84
15:00,62.69
15:15,63
15:30,62.86
15:45,62.77
16:00,62.78
16:15,62.52
16:30,62.4
16:45,62.6
17:00,62.54
17:15,60.18
17:30,60.18
17:45,63.04
18:00,65.84
18:15,64.75
18:30,69.63
18:45,70.5
19:00,74.8
19:15,76.04
19:30,75.74
19:45,74.07
20:00,73.48
20:15,73.25
20:30,73.19
20:45,72.78
21:00,72.36
21:15,72.17
21:30,71.61
21:45,71.98
22:00,71.19
22:15,69.39
22:30,69.09
22:45,68.74
23:00,68.63
23:15,68.39
23:30,64.05
23:45,63.42
