Category,Krabi
0:00,55.53
0:15,55.7
0:30,55.45
0:45,50.84
1:00,51.74
1:15,51.87
1:30,47.09
1:45,47.04
2:00,46.67
2:15,46.27
2:30,46.2
2:45,46.26
3:00,46.35
3:15,50.03
3:30,50.05
3:45,50.53
4:00,49.98
4:15,50.19
4:30,49.84
4:45,48.4
5:00,48.45
5:15,48.92
5:30,49.49
5:45,50.18
6:00,50.27
6:15,50.88
6:30,51.14
6:45,51.12
7:00,46.13
7:15,45.14
7:30,46.37
7:45,46.18
8:00,46.64
8:15,42.53
8:30,42.63
8:45,46.82
9:00,47.35
9:15,49.21
9:30,48.79
9:45,49.33
10:00,48.46
10:15,48.16
10:30,48.36
10:45,48.23
11:00,49.18
11:15,49.66
11:30,49.3
11:45,49.84
12:00,49.6
12:15,52.67
12:30,52.76
12:45,52.79
13:00,52.28
13:15,53.31
13:30,52.64
13:45,56.74
14:00,55.55
14:15,55.95
14:30,56.29
14:45,56.14
15:00,56.26
15:15,55.98
15:30,55.46
15:45,55.53
16:00,55.33
16:15,54.44
16:30,54.79
16:45,54.83
17:00,55.55
17:15,54.08
17:30,54.51
17:45,54.61
18:00,55.42
18:15,55.49
18:30,55.95
18:45,57.26
19:00,57.4
19:15,62.56
19:30,63.99
19:45,63.38
20:00,63.97
20:15,63.27
20:30,63.21
20:45,63.31
21:00,63.07
21:15,64.32
21:30,64.36
21:45,63.95
22:00,65.79
22:15,61.26
22:30,60.84
22:45,60.84
23:00,60.15
23:15,55.99
23:30,55.38
23:45,54.6
