Category,Krabi
0:00,58.88
0:15,58.88
0:30,58.88
0:45,58.88
1:00,58.88
1:15,58.88
1:30,58.88
1:45,58.88
2:00,58.88
2:15,58.88
2:30,58.88
2:45,58.88
3:00,58.88
3:15,58.88
3:30,58.88
3:45,58.88
4:00,58.88
4:15,58.88
4:30,58.88
4:45,58.88
5:00,58.88
5:15,58.88
5:30,58.88
5:45,58.88
6:00,58.88
6:15,58.88
6:30,58.88
6:45,58.88
7:00,58.88
7:15,58.88
7:30,58.88
7:45,58.88
8:00,58.88
8:15,58.88
8:30,58.88
8:45,58.88
9:00,58.88
9:15,58.88
9:30,58.88
9:45,58.88
10:00,58.88
10:15,59.2
10:30,59.47
10:45,61.81
11:00,62.21
11:15,62.42
11:30,62.39
11:45,62.53
12:00,63.81
12:15,67.95
12:30,68.69
12:45,68.83
13:00,69.05
13:15,69.32
13:30,72.4
13:45,72.89
14:00,73.19
14:15,75.56
14:30,75.16
14:45,75.5
15:00,77.49
15:15,76.12
15:30,76.28
15:45,75.84
16:00,75.5
16:15,75.39
16:30,75.51
16:45,75.28
17:00,75.63
17:15,74.4
17:30,70.79
17:45,70.16
18:00,69.62
18:15,68.6
18:30,69.87
18:45,74.82
19:00,75.45
19:15,80.02
19:30,80.52
19:45,80.61
20:00,80.1
20:15,82.15
20:30,80.12
20:45,79.84
21:00,79.96
21:15,75.22
21:30,76.97
21:45,75
22:00,75.58
22:15,76.19
22:30,75.93
22:45,76.79
23:00,71.82
23:15,72.44
23:30,68.5
23:45,68.05
