Category,Krabi
0:00,42.11
0:15,37.06
0:30,43.03
0:45,43.4
1:00,43.21
1:15,36.57
1:30,40.68
1:45,42.5
2:00,42.42
2:15,40.29
2:30,41.61
2:45,40.7
3:00,41.82
3:15,41.77
3:30,40.91
3:45,40.62
4:00,40.75
4:15,40.9
4:30,40.87
4:45,40.89
5:00,40.97
5:15,41.36
5:30,43.61
5:45,42.33
6:00,42.67
6:15,43.52
6:30,47.71
6:45,47.87
7:00,48.11
7:15,46.25
7:30,48.27
7:45,46.25
8:00,47.67
8:15,46.58
8:30,47.1
8:45,47.89
9:00,49.26
9:15,47.72
9:30,47.07
9:45,48.76
10:00,50.28
10:15,46.51
10:30,46.18
10:45,45.98
11:00,45.87
11:15,51.27
11:30,47.85
11:45,48.46
12:00,45.25
12:15,44.88
12:30,43.05
12:45,46.16
13:00,45.6
13:15,45.43
13:30,48.74
13:45,48.26
14:00,48.25
14:15,49.6
14:30,49.53
14:45,50.14
15:00,53.23
15:15,49.78
15:30,48.81
15:45,50.74
16:00,51.44
16:15,51.36
16:30,51.71
16:45,53.78
17:00,53.77
17:15,53.31
17:30,53.67
17:45,53.93
18:00,54.36
18:15,49.18
18:30,52.98
18:45,50.92
19:00,50.15
19:15,50.44
19:30,53.13
19:45,54.69
20:00,54.08
20:15,54.05
20:30,54.73
20:45,54.54
21:00,53.81
21:15,52.98
21:30,53.01
21:45,53.88
22:00,50.16
22:15,43.25
22:30,42.35
22:45,41.87
23:00,42.02
23:15,42.15
23:30,41.74
23:45,41.68
