Category,Krabi
0:00,88.8
0:15,84.55
0:30,83.92
0:45,84.21
1:00,83.62
1:15,83.47
1:30,83.47
1:45,83.83
2:00,79.55
2:15,79.73
2:30,79.45
2:45,80.48
3:00,80.31
3:15,79.46
3:30,79.4
3:45,79.85
4:00,79.62
4:15,79.79
4:30,79.89
4:45,79.85
5:00,80.16
5:15,80.79
5:30,81.03
5:45,81.61
6:00,81.26
6:15,81.99
6:30,81.83
6:45,81.67
7:00,81.32
7:15,80.69
7:30,80.55
7:45,80.49
8:00,79.68
8:15,80.54
8:30,84.68
8:45,84.31
9:00,88.88
9:15,88.05
9:30,85.19
9:45,87.39
10:00,85.81
10:15,88.51
10:30,88.88
10:45,93.17
11:00,93.22
11:15,93.14
11:30,91.16
11:45,89.64
12:00,87.84
12:15,88.8
12:30,88.26
12:45,89.15
13:00,87.94
13:15,88.34
13:30,89.13
13:45,89.86
14:00,91.02
14:15,89.37
14:30,89.94
14:45,90.41
15:00,90.52
15:15,90.41
15:30,90.61
15:45,90.55
16:00,90.43
16:15,91.14
16:30,88.4
16:45,90.52
17:00,90.08
17:15,89.79
17:30,92.73
17:45,96.08
18:00,95.11
18:15,94.81
18:30,93.33
18:45,91.06
19:00,99.5
19:15,99.28
19:30,98.79
19:45,99.65
20:00,99.9
20:15,99.36
20:30,99.44
20:45,99.07
21:00,98.96
21:15,94.22
21:30,94.43
21:45,94.56
22:00,94.65
22:15,89.9
22:30,91.69
22:45,91.81
23:00,91.75
23:15,86.47
23:30,86.53
23:45,86.13
