Category,Krabi
0:00,82.67
0:15,82.23
0:30,81.91
0:45,82.02
1:00,77.57
1:15,77.26
1:30,76.99
1:45,76.99
2:00,77.05
2:15,77.18
2:30,77.1
2:45,77.12
3:00,77.02
3:15,77.21
3:30,76.95
3:45,77.01
4:00,72.9
4:15,73.1
4:30,72.92
4:45,73.07
5:00,73.15
5:15,73.58
5:30,73.87
5:45,74.36
6:00,74.65
6:15,79.28
6:30,79.65
6:45,79.7
7:00,79.22
7:15,78.77
7:30,78.78
7:45,78.21
8:00,77.78
8:15,78.01
8:30,78.42
8:45,81.31
9:00,80.84
9:15,78.85
9:30,81.42
9:45,79.3
10:00,79.14
10:15,80.19
10:30,79.31
10:45,79.35
11:00,83.76
11:15,83.43
11:30,83.22
11:45,83.37
12:00,83.52
12:15,83.22
12:30,85.26
12:45,84.68
13:00,83.74
13:15,83.82
13:30,84
13:45,84.22
14:00,84.08
14:15,83.69
14:30,83.36
14:45,83.64
15:00,83.71
15:15,83.91
15:30,84.16
15:45,83.41
16:00,86.25
16:15,84.03
16:30,84.64
16:45,86.05
17:00,85.89
17:15,85.98
17:30,85.82
17:45,86.37
18:00,86.32
18:15,85.71
18:30,86.71
18:45,90.05
19:00,89.68
19:15,88.61
19:30,88.34
19:45,88.32
20:00,88.22
20:15,90.07
20:30,89.43
20:45,88.86
21:00,89.72
21:15,84.77
21:30,84.51
21:45,86.31
22:00,89.78
22:15,91.08
22:30,91.03
22:45,86.58
23:00,86.25
23:15,86.23
23:30,86.01
23:45,81.74
