Category,Krabi
0:00,87.55
0:15,86.25
0:30,86.57
0:45,86.19
1:00,83.37
1:15,82.05
1:30,81.81
1:45,82.33
2:00,79.18
2:15,80.15
2:30,80.4
2:45,80.29
3:00,80.36
3:15,80.49
3:30,80.26
3:45,80.25
4:00,80.14
4:15,78.71
4:30,78.78
4:45,79.04
5:00,79.44
5:15,77.39
5:30,77.57
5:45,78.09
6:00,78.32
6:15,78.92
6:30,79.41
6:45,78.29
7:00,78.76
7:15,77.96
7:30,77.85
7:45,77.88
8:00,75.85
8:15,75.72
8:30,76.32
8:45,79.9
9:00,78.19
9:15,78.1
9:30,80.44
9:45,83.04
10:00,83.31
10:15,83.18
10:30,83.18
10:45,82.88
11:00,83.13
11:15,83.2
11:30,83.37
11:45,83.29
12:00,83.19
12:15,82.84
12:30,83.11
12:45,83.04
13:00,83.06
13:15,83.86
13:30,84.15
13:45,83.81
14:00,83.19
14:15,85.94
14:30,90.05
14:45,91.53
15:00,91.27
15:15,89.31
15:30,88.04
15:45,86.61
16:00,85.32
16:15,84.25
16:30,90.42
16:45,86.36
17:00,82.66
17:15,82.76
17:30,82.52
17:45,81.58
18:00,82.09
18:15,82.58
18:30,82.77
18:45,82.34
19:00,87.75
19:15,87.77
19:30,88.58
19:45,88.4
20:00,88.43
20:15,88.35
20:30,87.91
20:45,87.45
21:00,87.11
21:15,87.09
21:30,86.84
21:45,86.65
22:00,88.16
22:15,90.63
22:30,90.81
22:45,90.64
23:00,90.85
23:15,90.34
23:30,85.73
23:45,84.85
