Category,Krabi
0:00,97.89
0:15,98.01
0:30,97.73
0:45,92.93
1:00,92.93
1:15,92.68
1:30,92.88
1:45,91.97
2:00,87.6
2:15,87.55
2:30,87.5
2:45,87.2
3:00,85.9
3:15,86.02
3:30,86.04
3:45,85.78
4:00,86.47
4:15,85.87
4:30,85.82
4:45,85.71
5:00,85.81
5:15,86.24
5:30,86.72
5:45,86.96
6:00,87.61
6:15,88.06
6:30,88.01
6:45,88.09
7:00,88.48
7:15,88.19
7:30,87.89
7:45,86.98
8:00,85.55
8:15,85.58
8:30,89.55
8:45,89.63
9:00,86.74
9:15,90.07
9:30,89.86
9:45,88.58
10:00,89.14
10:15,78.04
10:30,88.26
10:45,89.12
11:00,88.79
11:15,88.34
11:30,83.21
11:45,93.44
12:00,94.33
12:15,93.84
12:30,94.36
12:45,84.65
13:00,84.2
13:15,85.74
13:30,85.45
13:45,85.48
14:00,85.35
14:15,89.19
14:30,89.31
14:45,89.59
15:00,89.99
15:15,90.64
15:30,90.34
15:45,89.97
16:00,90.33
16:15,89.94
16:30,90
16:45,103.4
17:00,90.86
17:15,87.09
17:30,86.79
17:45,86.79
18:00,88.43
18:15,93.57
18:30,96.6
18:45,100.63
19:00,101.82
19:15,101.68
19:30,100.98
19:45,97.73
20:00,94.9
20:15,93.09
20:30,92.57
20:45,92.85
21:00,93.65
21:15,92.8
21:30,92.5
21:45,92.87
22:00,96.63
22:15,98.6
22:30,98.88
22:45,98.15
23:00,99.13
23:15,97.81
23:30,92.5
23:45,93.16
