Category,Krabi
0:00,82.14
0:15,81.63
0:30,81.61
0:45,79.95
1:00,79.48
1:15,78.92
1:30,77.16
1:45,77.19
2:00,76.69
2:15,76.57
2:30,75.45
2:45,75.43
3:00,75.39
3:15,74.98
3:30,75.27
3:45,75.19
4:00,75.1
4:15,74.95
4:30,75.32
4:45,75.69
5:00,67.37
5:15,74.16
5:30,74.88
5:45,75.25
6:00,75.88
6:15,77.17
6:30,77.16
6:45,76.23
7:00,74.11
7:15,72.71
7:30,71.61
7:45,71.36
8:00,62.48
8:15,62.96
8:30,77.39
8:45,77.62
9:00,82.07
9:15,82.27
9:30,80.61
9:45,86.14
10:00,76.76
10:15,80.74
10:30,85.02
10:45,84.91
11:00,85.97
11:15,84.89
11:30,84.87
11:45,86.3
12:00,86.64
12:15,85.27
12:30,85.01
12:45,85.21
13:00,85.56
13:15,86
13:30,87.27
13:45,87.55
14:00,89.51
14:15,86.47
14:30,87.11
14:45,86.65
15:00,87.61
15:15,87.67
15:30,88.11
15:45,90.04
16:00,90.35
16:15,89.7
16:30,89.84
16:45,89.99
17:00,89.65
17:15,89.76
17:30,90.31
17:45,89.72
18:00,89.85
18:15,95.65
18:30,101.79
18:45,91.4
19:00,102.98
19:15,101.28
19:30,99.61
19:45,98.07
20:00,86.24
20:15,86.01
20:30,85.58
20:45,85.32
21:00,84.93
21:15,80.34
21:30,80.13
21:45,79.85
22:00,79.4
22:15,84.22
22:30,81.98
22:45,79.77
23:00,79.87
23:15,79.46
23:30,78.68
23:45,78.38
