Category,Krabi
0:00,91.05
0:15,91.09
0:30,86.97
0:45,86.54
1:00,85.75
1:15,82.95
1:30,83.07
1:45,81.77
2:00,81.3
2:15,81.67
2:30,80.37
2:45,80.32
3:00,80.25
3:15,80.16
3:30,80.06
3:45,78.71
4:00,78.32
4:15,77.84
4:30,78.57
4:45,78.26
5:00,78.51
5:15,79.11
5:30,78.97
5:45,79.17
6:00,79.16
6:15,80.22
6:30,79.99
6:45,80.94
7:00,80.25
7:15,77.9
7:30,77.79
7:45,77.99
8:00,80.78
8:15,81.23
8:30,85.57
8:45,87.32
9:00,86.3
9:15,85.01
9:30,88.74
9:45,88.73
10:00,90.01
10:15,90.28
10:30,92.11
10:45,91.98
11:00,92.34
11:15,91.64
11:30,92.2
11:45,93.77
12:00,93.22
12:15,93.29
12:30,92.64
12:45,92.48
13:00,92.55
13:15,92.5
13:30,92.24
13:45,96.35
14:00,95.96
14:15,96.37
14:30,96.15
14:45,96.41
15:00,96.16
15:15,96.43
15:30,96.2
15:45,96.2
16:00,96.45
16:15,95.76
16:30,95.54
16:45,95.53
17:00,91.44
17:15,90.48
17:30,90.13
17:45,89.01
18:00,88.98
18:15,90.15
18:30,96.1
18:45,99.25
19:00,101.88
19:15,101.81
19:30,100.41
19:45,100.11
20:00,98.06
20:15,96.4
20:30,95.28
20:45,95.21
21:00,95.31
21:15,94.58
21:30,94.15
21:45,93.63
22:00,97.09
22:15,98.16
22:30,98.04
22:45,93.69
23:00,92.5
23:15,92.06
23:30,92.18
23:45,91.52
