Category,Krabi
0:00,82.46
0:15,82.47
0:30,82.46
0:45,82.24
1:00,81.88
1:15,81.72
1:30,81.81
1:45,81.76
2:00,81.68
2:15,81.54
2:30,81.65
2:45,77.65
3:00,77.16
3:15,77.43
3:30,76.85
3:45,75.77
4:00,75.78
4:15,74.57
4:30,74.74
4:45,74.87
5:00,75.14
5:15,75.12
5:30,75.47
5:45,75.66
6:00,75.58
6:15,76.37
6:30,76.11
6:45,75.41
7:00,74.68
7:15,74.25
7:30,74.21
7:45,73.72
8:00,73.54
8:15,78.07
8:30,78.16
8:45,77.75
9:00,80.92
9:15,80.45
9:30,81.9
9:45,81.37
10:00,75.85
10:15,81.26
10:30,81.99
10:45,83.92
11:00,83.79
11:15,83.67
11:30,83.57
11:45,82.54
12:00,82.16
12:15,82.51
12:30,82.46
12:45,81.16
13:00,80.2
13:15,81.06
13:30,84.5
13:45,84.15
14:00,85.41
14:15,85.23
14:30,84.21
14:45,83.92
15:00,83.36
15:15,82.32
15:30,81.72
15:45,81.02
16:00,82.06
16:15,82.37
16:30,82.11
16:45,82.87
17:00,82.88
17:15,76.56
17:30,83.07
17:45,84
18:00,83.59
18:15,87.21
18:30,87.61
18:45,87.87
19:00,88.06
19:15,88.08
19:30,88.2
19:45,85.21
20:00,90.1
20:15,89.88
20:30,90.41
20:45,90.15
21:00,90.57
21:15,89.95
21:30,90.6
21:45,89.58
22:00,87.5
22:15,87.89
22:30,88.83
22:45,88.58
23:00,84.55
23:15,84.42
23:30,84
23:45,83.81
