Category,Krabi
0:00,80.22
0:15,79.7
0:30,75.25
0:45,74.94
1:00,74.98
1:15,74.48
1:30,71.85
1:45,73.13
2:00,72.9
2:15,72.03
2:30,72.65
2:45,70.45
3:00,70.64
3:15,71.07
3:30,70.71
3:45,69.79
4:00,68.65
4:15,69.22
4:30,69.58
4:45,69.37
5:00,69.59
5:15,70.33
5:30,70.84
5:45,74.35
6:00,75.84
6:15,76.3
6:30,76.03
6:45,76.63
7:00,76.58
7:15,75.88
7:30,75.14
7:45,75.25
8:00,75.01
8:15,74.99
8:30,79.74
8:45,81.95
9:00,80.27
9:15,78.32
9:30,82.67
9:45,82.65
10:00,82.62
10:15,85.81
10:30,85.88
10:45,85.52
11:00,84.9
11:15,84.95
11:30,85.29
11:45,86.14
12:00,86.05
12:15,85.62
12:30,84.26
12:45,84.58
13:00,84.5
13:15,85.32
13:30,88.65
13:45,87.67
14:00,87.28
14:15,88.82
14:30,88.67
14:45,88.54
15:00,83.99
15:15,83.6
15:30,85.19
15:45,85.41
16:00,86.03
16:15,86.03
16:30,86.02
16:45,85.77
17:00,85.48
17:15,85.93
17:30,85.52
17:45,88.66
18:00,86.24
18:15,88.55
18:30,94.96
18:45,95.11
19:00,95.23
19:15,94.36
19:30,93.84
19:45,93.29
20:00,92.91
20:15,89.21
20:30,88.67
20:45,87.54
21:00,85.82
21:15,82.32
21:30,82.73
21:45,81.54
22:00,81.15
22:15,85.89
22:30,85.43
22:45,81.15
23:00,80.13
23:15,78.82
23:30,79.78
23:45,74.97
