Category,Krabi
0:00,86.65
0:15,86.33
0:30,86.16
0:45,81.33
1:00,81.35
1:15,81.08
1:30,81.34
1:45,81.27
2:00,81.16
2:15,81.47
2:30,81.61
2:45,81.52
3:00,77.59
3:15,77.57
3:30,77.52
3:45,77.26
4:00,77.39
4:15,77.37
4:30,77.76
4:45,77.78
5:00,78.08
5:15,78.4
5:30,78.58
5:45,78.68
6:00,79.31
6:15,84.06
6:30,84.15
6:45,84.94
7:00,84.03
7:15,83.26
7:30,81.84
7:45,81.76
8:00,81.68
8:15,80.27
8:30,83.83
8:45,84.36
9:00,83.94
9:15,84.44
9:30,82.39
9:45,82.46
10:00,81.66
10:15,81.65
10:30,81.07
10:45,80.9
11:00,80.69
11:15,79.97
11:30,80.62
11:45,80.24
12:00,80.99
12:15,81.43
12:30,81.9
12:45,82.86
13:00,81.93
13:15,80.31
13:30,80.39
13:45,81.21
14:00,81.73
14:15,82.41
14:30,82.36
14:45,82.13
15:00,82.08
15:15,81.86
15:30,81.49
15:45,81.42
16:00,82.66
16:15,82.54
16:30,81.66
16:45,82.49
17:00,83.64
17:15,83.49
17:30,82.98
17:45,83.58
18:00,84.39
18:15,84.05
18:30,88.69
18:45,89.46
19:00,89.8
19:15,89.77
19:30,89.92
19:45,89.24
20:00,89.65
20:15,87.13
20:30,86.76
20:45,87.23
21:00,87.24
21:15,84.83
21:30,84.9
21:45,86.62
22:00,87.13
22:15,87.2
22:30,83.77
22:45,82.56
23:00,82.09
23:15,81.94
23:30,77.61
23:45,77.21
