Category,Krabi
0:00,85.32
0:15,82.14
0:30,82.2
0:45,82.09
1:00,82.34
1:15,81.81
1:30,81.98
1:45,81.94
2:00,78.07
2:15,77.74
2:30,78
2:45,78.08
3:00,77.74
3:15,77.73
3:30,77.62
3:45,77.41
4:00,77.18
4:15,77.3
4:30,77.39
4:45,77.57
5:00,77.91
5:15,77.87
5:30,78.21
5:45,78.56
6:00,78.67
6:15,77.71
6:30,78.27
6:45,79.2
7:00,78.77
7:15,78.29
7:30,78.04
7:45,76.57
8:00,76.34
8:15,76.36
8:30,77.48
8:45,82.03
9:00,82.27
9:15,78.97
9:30,77.65
9:45,81.13
10:00,80.93
10:15,80.69
10:30,81.06
10:45,85.11
11:00,80.52
11:15,83.58
11:30,83.26
11:45,83.48
12:00,83.21
12:15,83.37
12:30,83.62
12:45,83.63
13:00,83.3
13:15,83.63
13:30,73.37
13:45,72.51
14:00,73.25
14:15,79.22
14:30,79.52
14:45,78.97
15:00,81.81
15:15,81.84
15:30,81.72
15:45,83.11
16:00,77.5
16:15,80.76
16:30,81.21
16:45,81.05
17:00,85.79
17:15,85.83
17:30,85.94
17:45,85.91
18:00,85.21
18:15,85.19
18:30,87.82
18:45,86.62
19:00,91.93
19:15,91.02
19:30,90.66
19:45,91.84
20:00,94.41
20:15,94.04
20:30,92.6
20:45,92.11
21:00,92.01
21:15,92
21:30,92.14
21:45,91.85
22:00,87.5
22:15,94.01
22:30,94.19
22:45,93.28
23:00,94.05
23:15,89.33
23:30,87.94
23:45,87.36
