Category,Krabi
0:00,80.82
0:15,80.55
0:30,80.76
0:45,80.66
1:00,80.47
1:15,80.31
1:30,76.3
1:45,76.33
2:00,76.54
2:15,77.55
2:30,77.62
2:45,77.42
3:00,77.23
3:15,77.18
3:30,77.26
3:45,77.02
4:00,77.21
4:15,70.21
4:30,76.6
4:45,76.56
5:00,77.2
5:15,77.4
5:30,77.34
5:45,78.41
6:00,78.87
6:15,79.21
6:30,78.89
6:45,77.1
7:00,76.78
7:15,76.6
7:30,76.72
7:45,76.61
8:00,77.89
8:15,81.14
8:30,82.69
8:45,85.17
9:00,82.05
9:15,81.65
9:30,78.62
9:45,82.51
10:00,83.07
10:15,81.67
10:30,82.21
10:45,81.97
11:00,81.62
11:15,82.53
11:30,82.18
11:45,81.65
12:00,82.08
12:15,81.86
12:30,81.7
12:45,81.45
13:00,85.54
13:15,81.91
13:30,82.58
13:45,82.54
14:00,85.15
14:15,86.26
14:30,86.51
14:45,87.21
15:00,85.96
15:15,86.18
15:30,86.57
15:45,91.65
16:00,87.16
16:15,85.77
16:30,86.92
16:45,84.73
17:00,84.6
17:15,82.99
17:30,83.13
17:45,82.97
18:00,83.22
18:15,82.9
18:30,82.95
18:45,87.63
19:00,87.65
19:15,88.76
19:30,89
19:45,88.85
20:00,88.91
20:15,89.91
20:30,89.42
20:45,89.52
21:00,89.68
21:15,89.52
21:30,89
21:45,88.57
22:00,94.38
22:15,95.4
22:30,90.5
22:45,90.55
23:00,90.17
23:15,90.5
23:30,86.12
23:45,84.99
