Category,Krabi
0:00,88.72
0:15,84.19
0:30,84.19
0:45,84.13
1:00,84.33
1:15,83.62
1:30,83.73
1:45,83.57
2:00,75.59
2:15,77.33
2:30,77.53
2:45,77.41
3:00,77.14
3:15,77.16
3:30,77.19
3:45,77.02
4:00,77.01
4:15,76.87
4:30,77.16
4:45,77.18
5:00,77.51
5:15,77.95
5:30,81.13
5:45,81.76
6:00,82.41
6:15,83.67
6:30,83.8
6:45,83.21
7:00,82.64
7:15,82.93
7:30,80.24
7:45,81.49
8:00,81.75
8:15,81.92
8:30,86.67
8:45,86.99
9:00,87.32
9:15,87.19
9:30,85.44
9:45,86.19
10:00,86.09
10:15,85.52
10:30,85.52
10:45,86.54
11:00,86.77
11:15,86.39
11:30,86.88
11:45,87.42
12:00,86.68
12:15,86.28
12:30,86.22
12:45,85
13:00,85.65
13:15,84.64
13:30,84.47
13:45,84.19
14:00,84.92
14:15,83.41
14:30,84.55
14:45,82.96
15:00,83.36
15:15,83.76
15:30,82.22
15:45,83.27
16:00,83.28
16:15,82.61
16:30,77.8
16:45,79.62
17:00,78.65
17:15,82.67
17:30,82.47
17:45,86
18:00,82.7
18:15,83.21
18:30,86.21
18:45,85.51
19:00,84.52
19:15,89.12
19:30,85.92
19:45,86.4
20:00,85.65
20:15,85.83
20:30,85.37
20:45,85.07
21:00,84.68
21:15,84.86
21:30,84.64
21:45,79.77
22:00,84.26
22:15,86.06
22:30,85.66
22:45,85.17
23:00,84.46
23:15,79.81
23:30,79.39
23:45,79.28
