Category,Krabi
0:00,84.03
0:15,83.56
0:30,83.19
0:45,78.03
1:00,77.56
1:15,77.34
1:30,78.34
1:45,76.92
2:00,76.5
2:15,76.15
2:30,76.07
2:45,75.93
3:00,76.95
3:15,71.62
3:30,73.51
3:45,72.42
4:00,72.33
4:15,73.34
4:30,71.81
4:45,71.88
5:00,72.23
5:15,73.58
5:30,72.09
5:45,74.12
6:00,74.39
6:15,75.48
6:30,79.94
6:45,80.96
7:00,79.39
7:15,79.2
7:30,79.68
7:45,81.05
8:00,79.87
8:15,79.81
8:30,79.74
8:45,82.64
9:00,79.87
9:15,79.27
9:30,79.34
9:45,79.3
10:00,78.45
10:15,82.39
10:30,82.14
10:45,82.69
11:00,82.47
11:15,81.94
11:30,82.02
11:45,82.63
12:00,83.97
12:15,78.74
12:30,82.88
12:45,82.95
13:00,83.02
13:15,84.05
13:30,86.08
13:45,84.29
14:00,84.01
14:15,84.02
14:30,85.21
14:45,85.27
15:00,84.9
15:15,84.63
15:30,84.25
15:45,81.93
16:00,82.46
16:15,82.17
16:30,82.27
16:45,82.37
17:00,82.18
17:15,82.83
17:30,82.88
17:45,83.35
18:00,83.29
18:15,85.86
18:30,86.46
18:45,86.73
19:00,84.32
19:15,84.13
19:30,83.44
19:45,83.2
20:00,83.12
20:15,83.78
20:30,83.04
20:45,82.62
21:00,82.79
21:15,82.26
21:30,80.75
21:45,80.6
22:00,80.4
22:15,86.63
22:30,86.35
22:45,85.69
23:00,85.36
23:15,81.46
23:30,81.13
23:45,79.85
