Category,Krabi
0:00,82.08
0:15,78.26
0:30,78.23
0:45,78.03
1:00,77.84
1:15,78
1:30,77.82
1:45,77.52
2:00,77.95
2:15,73.41
2:30,73.14
2:45,74.02
3:00,73.32
3:15,73.07
3:30,67.32
3:45,73.07
4:00,73.32
4:15,73.17
4:30,73.08
4:45,73.55
5:00,73.69
5:15,73.67
5:30,74.28
5:45,74.54
6:00,74.53
6:15,79.46
6:30,79.7
6:45,78.92
7:00,78.74
7:15,77.89
7:30,78.05
7:45,76.31
8:00,76.06
8:15,78.79
8:30,79.06
8:45,83.32
9:00,83.94
9:15,85.41
9:30,83.74
9:45,90.53
10:00,88.36
10:15,88.75
10:30,88.69
10:45,88.57
11:00,90.22
11:15,89.73
11:30,89.57
11:45,89.45
12:00,89.34
12:15,89.03
12:30,89.31
12:45,94.53
13:00,90
13:15,89.27
13:30,89.31
13:45,89.35
14:00,89.28
14:15,89.46
14:30,89.5
14:45,90.74
15:00,89.7
15:15,89.14
15:30,88.59
15:45,88.66
16:00,86.46
16:15,85.96
16:30,85.44
16:45,85.09
17:00,84.72
17:15,85.27
17:30,85.81
17:45,83.84
18:00,83.88
18:15,85.15
18:30,89.61
18:45,90.12
19:00,90.52
19:15,93.55
19:30,92.84
19:45,92.03
20:00,91.34
20:15,91.13
20:30,91.68
20:45,90.99
21:00,90.96
21:15,90.89
21:30,90.73
21:45,86.36
22:00,86.41
22:15,88.58
22:30,87.88
22:45,86.88
23:00,87.45
23:15,82.79
23:30,82.02
23:45,82.06
