Category,Krabi
0:00,84.36
0:15,84.25
0:30,84.23
0:45,83.62
1:00,84.28
1:15,82.93
1:30,78.69
1:45,77.16
2:00,77.15
2:15,77.18
2:30,77.21
2:45,77.1
3:00,77.9
3:15,77.66
3:30,76.27
3:45,75.76
4:00,75.87
4:15,75.87
4:30,76.45
4:45,77.16
5:00,77.19
5:15,77.47
5:30,77.82
5:45,77.01
6:00,77.43
6:15,77.25
6:30,76.96
6:45,76.21
7:00,76.01
7:15,75.73
7:30,75.67
7:45,75.71
8:00,75.01
8:15,79.52
8:30,80.13
8:45,81.2
9:00,84.81
9:15,85.21
9:30,85.17
9:45,85.09
10:00,85.37
10:15,85.24
10:30,85.51
10:45,89.86
11:00,89.39
11:15,90.24
11:30,92.64
11:45,92.95
12:00,93.16
12:15,92.2
12:30,90.92
12:45,89.57
13:00,89.15
13:15,89.15
13:30,89.15
13:45,91.51
14:00,90.95
14:15,90.63
14:30,90.99
14:45,91.58
15:00,90.95
15:15,91.52
15:30,90.94
15:45,86.14
16:00,86.32
16:15,86.33
16:30,86.66
16:45,86.34
17:00,86.43
17:15,86.04
17:30,85.69
17:45,86.35
18:00,86.16
18:15,86.09
18:30,87.27
18:45,92.07
19:00,93.07
19:15,93.69
19:30,93.19
19:45,93.8
20:00,91.73
20:15,91.15
20:30,91.99
20:45,91.89
21:00,91.34
21:15,90.81
21:30,90.95
21:45,90.7
22:00,90.78
22:15,90.17
22:30,90.59
22:45,91.21
23:00,91.7
23:15,88.3
23:30,87.41
23:45,87.15
