Category,Krabi
0:00,80.14
0:15,78.29
0:30,76.83
0:45,76.35
1:00,75.61
1:15,74.72
1:30,75.24
1:45,74.87
2:00,73.99
2:15,72.7
2:30,73.01
2:45,72.24
3:00,72.33
3:15,72.11
3:30,71.02
3:45,70.97
4:00,70.98
4:15,70.97
4:30,70.88
4:45,71.14
5:00,71.85
5:15,73.45
5:30,74.02
5:45,74.74
6:00,75.77
6:15,76.27
6:30,77.05
6:45,76.6
7:00,76.45
7:15,76.96
7:30,76.6
7:45,76.86
8:00,77.95
8:15,79.02
8:30,80.08
8:45,81.82
9:00,83.33
9:15,83.95
9:30,82.89
9:45,84.82
10:00,83.41
10:15,84.19
10:30,85.34
10:45,84.8
11:00,84.62
11:15,84.45
11:30,85.32
11:45,85
12:00,83.8
12:15,81.61
12:30,81.49
12:45,82.96
13:00,82.54
13:15,83.77
13:30,85.32
13:45,84.26
14:00,84.67
14:15,84.89
14:30,84.41
14:45,84.53
15:00,83.32
15:15,83.66
15:30,83.79
15:45,83.41
16:00,84.15
16:15,84.33
16:30,86.13
16:45,86.17
17:00,86.43
17:15,88.12
17:30,88.23
17:45,89.27
18:00,91.07
18:15,94.45
18:30,97.68
18:45,98.61
19:00,98.36
19:15,97.91
19:30,97.06
19:45,96.22
20:00,95.17
20:15,93.28
20:30,92.44
20:45,91.44
21:00,90.54
21:15,90
21:30,88.51
21:45,87.22
22:00,87.6
22:15,87.37
22:30,85.2
22:45,84.79
23:00,83.58
23:15,79.12
23:30,80.38
23:45,80.32
