Category,Krabi
0:00,89.49
0:15,84.91
0:30,84.63
0:45,84.53
1:00,84.44
1:15,83.92
1:30,83.95
1:45,79.61
2:00,79.55
2:15,79.66
2:30,79.73
2:45,79.56
3:00,79.68
3:15,79.89
3:30,79.75
3:45,79.76
4:00,79.68
4:15,79.73
4:30,79.86
4:45,79.84
5:00,80.08
5:15,80.25
5:30,80.29
5:45,80.43
6:00,80.6
6:15,80.92
6:30,81.04
6:45,81.21
7:00,80.98
7:15,79.86
7:30,79.19
7:45,79.31
8:00,79.07
8:15,79.98
8:30,83.78
8:45,83.84
9:00,84.56
9:15,84.87
9:30,84.33
9:45,83.84
10:00,88.75
10:15,88.17
10:30,87.98
10:45,88.09
11:00,87.62
11:15,88.14
11:30,87.95
11:45,87.58
12:00,87.57
12:15,87.16
12:30,86.7
12:45,87.43
13:00,87.33
13:15,88.21
13:30,87.9
13:45,87.07
14:00,90.81
14:15,90.94
14:30,90.82
14:45,90.66
15:00,89.86
15:15,89.98
15:30,90.09
15:45,89.6
16:00,89.92
16:15,89.26
16:30,90
16:45,90
17:00,89.87
17:15,90.78
17:30,90.35
17:45,90.04
18:00,89.99
18:15,90.49
18:30,95.67
18:45,100.77
19:00,101.57
19:15,101.9
19:30,102.8
19:45,102.65
20:00,103.82
20:15,104.52
20:30,103.97
20:45,103.8
21:00,104.31
21:15,104.18
21:30,103.64
21:45,103.72
22:00,103.98
22:15,99.89
22:30,99.25
22:45,98.69
23:00,95.12
23:15,94.02
23:30,93.76
23:45,93.34
