Category,Krabi
0:00,87.08
0:15,82.2
0:30,82.24
0:45,82.13
1:00,82.15
1:15,81.86
1:30,81.45
1:45,77.33
2:00,77.02
2:15,77
2:30,76.75
2:45,76.8
3:00,76.71
3:15,76.62
3:30,76.69
3:45,76.54
4:00,76.16
4:15,75.95
4:30,76
4:45,75.94
5:00,75.95
5:15,76.44
5:30,76.48
5:45,76.9
6:00,77.59
6:15,78.32
6:30,78.66
6:45,78.15
7:00,78.07
7:15,76.11
7:30,75.91
7:45,75.58
8:00,75.85
8:15,77.19
8:30,77.79
8:45,81.52
9:00,84.67
9:15,85.03
9:30,84.61
9:45,81.81
10:00,88
10:15,89.05
10:30,88.71
10:45,88.94
11:00,88.74
11:15,88.57
11:30,88.2
11:45,88.45
12:00,88.19
12:15,88.2
12:30,88.17
12:45,87.16
13:00,87.26
13:15,87.35
13:30,87.85
13:45,87.81
14:00,87.07
14:15,87.8
14:30,87.96
14:45,88.44
15:00,88.13
15:15,88.75
15:30,87.65
15:45,86.28
16:00,86.95
16:15,87.33
16:30,87.42
16:45,86.66
17:00,86.95
17:15,87.79
17:30,87.6
17:45,87.48
18:00,87.69
18:15,87.47
18:30,88.48
18:45,92.94
19:00,93.65
19:15,93.52
19:30,93.47
19:45,92.96
20:00,92.97
20:15,92.64
20:30,92.26
20:45,92.29
21:00,92.73
21:15,92.32
21:30,92.41
21:45,92.17
22:00,90.76
22:15,82.77
22:30,86.93
22:45,87.18
23:00,88.52
23:15,85.54
23:30,83.91
23:45,83.95
