Category,Krabi
0:00,85.42
0:15,83.85
0:30,82.98
0:45,82.36
1:00,80.53
1:15,78.83
1:30,78.16
1:45,77.51
2:00,77
2:15,76.08
2:30,75.76
2:45,75.02
3:00,74.81
3:15,74.28
3:30,74.01
3:45,73.52
4:00,73.35
4:15,73.22
4:30,76.05
4:45,72.99
5:00,74.53
5:15,74.86
5:30,83.09
5:45,73.97
6:00,74.87
6:15,78.06
6:30,79.06
6:45,79.77
7:00,78.6
7:15,77.12
7:30,76.1
7:45,77.13
8:00,77.37
8:15,79.14
8:30,80.3
8:45,82.53
9:00,83.62
9:15,87.52
9:30,88.04
9:45,87.6
10:00,88.89
10:15,89.76
10:30,90.47
10:45,90.45
11:00,90.49
11:15,92.37
11:30,94.01
11:45,96.37
12:00,95.37
12:15,93.8
12:30,92.86
12:45,92.82
13:00,93.45
13:15,94.07
13:30,94.57
13:45,95.76
14:00,95.69
14:15,96.6
14:30,96.8
14:45,96.14
15:00,94.18
15:15,95.48
15:30,95.24
15:45,96.74
16:00,96.43
16:15,96.01
16:30,97.59
16:45,97.99
17:00,98.51
17:15,96.47
17:30,96.9
17:45,97.54
18:00,98.26
18:15,102.11
18:30,106.68
18:45,108.09
19:00,107.34
19:15,106.85
19:30,105.62
19:45,105
20:00,103.52
20:15,102.42
20:30,101.55
20:45,101.19
21:00,100.66
21:15,100.19
21:30,98.87
21:45,97.27
22:00,99.79
22:15,99.67
22:30,99.24
22:45,98.48
23:00,96.39
23:15,94.82
23:30,93.88
23:45,92.37
