Category,Krabi
0:00,77.04
0:15,77.12
0:30,77.07
0:45,76.45
1:00,76.34
1:15,72.21
1:30,72.44
1:45,72.57
2:00,72.54
2:15,72.65
2:30,72.35
2:45,72.42
3:00,72.59
3:15,72.76
3:30,73.02
3:45,72.56
4:00,72.67
4:15,72.82
4:30,72.75
4:45,73.07
5:00,73.34
5:15,73.51
5:30,73.59
5:45,73.49
6:00,73.82
6:15,73.95
6:30,74.37
6:45,74.61
7:00,79.06
7:15,78.9
7:30,77.45
7:45,76.96
8:00,76.14
8:15,77.57
8:30,81.93
8:45,81.35
9:00,82.16
9:15,82.05
9:30,82.35
9:45,82.69
10:00,81.62
10:15,81.57
10:30,81.23
10:45,82.13
11:00,81.79
11:15,81.2
11:30,80.98
11:45,81.6
12:00,82.02
12:15,82.11
12:30,81.77
12:45,82.1
13:00,82.28
13:15,82.37
13:30,81.76
13:45,81.08
14:00,81.02
14:15,84.07
14:30,84.06
14:45,83.32
15:00,84.2
15:15,84.54
15:30,83.77
15:45,82.45
16:00,82.71
16:15,83.99
16:30,83.96
16:45,84.8
17:00,84.75
17:15,84.67
17:30,85.1
17:45,85.39
18:00,86.26
18:15,89.94
18:30,90.4
18:45,95.5
19:00,96.62
19:15,98.23
19:30,97.45
19:45,96.82
20:00,96.74
20:15,96.51
20:30,97.16
20:45,96.9
21:00,96.47
21:15,96.37
21:30,92.14
21:45,92.51
22:00,91.62
22:15,91.28
22:30,91.37
22:45,87.79
23:00,87.62
23:15,86.69
23:30,86.14
23:45,81.73
