Category,Krabi
0:00,81.39
0:15,81.49
0:30,81.45
0:45,77.03
1:00,76.82
1:15,76.28
1:30,76.55
1:45,76.56
2:00,77.54
2:15,76.79
2:30,76.58
2:45,76.38
3:00,76.35
3:15,76.52
3:30,76.59
3:45,76.71
4:00,76.74
4:15,77.76
4:30,76.72
4:45,76.9
5:00,76.69
5:15,76.99
5:30,76.67
5:45,77.07
6:00,77.15
6:15,77.85
6:30,78.29
6:45,78.05
7:00,77.98
7:15,77.82
7:30,76.43
7:45,70.63
8:00,74.75
8:15,75.52
8:30,75.78
8:45,75.52
9:00,73.8
9:15,72.34
9:30,71.45
9:45,75.87
10:00,75.9
10:15,75.92
10:30,76.49
10:45,77.36
11:00,76.41
11:15,76.26
11:30,79.31
11:45,79.33
12:00,79.07
12:15,78.59
12:30,78.6
12:45,78.91
13:00,78.57
13:15,78.49
13:30,78.48
13:45,79.18
14:00,78.59
14:15,83.82
14:30,82.29
14:45,80.96
15:00,80.2
15:15,79.99
15:30,80.13
15:45,80.06
16:00,79.59
16:15,79.86
16:30,79.77
16:45,79.85
17:00,73.34
17:15,75.59
17:30,78.82
17:45,78.54
18:00,78.59
18:15,78.82
18:30,82.97
18:45,91.85
19:00,89.06
19:15,88.43
19:30,88.48
19:45,88.65
20:00,87.89
20:15,87.99
20:30,87.7
20:45,87.72
21:00,87.15
21:15,86.65
21:30,86.67
21:45,86.91
22:00,86.71
22:15,91.12
22:30,90.8
22:45,91.67
23:00,91.22
23:15,
23:30,86.18
23:45,86.16
