Category,Krabi
0:00,78.77
0:15,78.84
0:30,78.58
0:45,74.59
1:00,74.46
1:15,74.65
1:30,74.92
1:45,73.65
2:00,73.2
2:15,73
2:30,74.39
2:45,73.19
3:00,72.99
3:15,73.01
3:30,73.27
3:45,73.08
4:00,73.13
4:15,73.18
4:30,73.57
4:45,73.59
5:00,73.7
5:15,73.71
5:30,74.2
5:45,74.58
6:00,74.24
6:15,74.04
6:30,74.85
6:45,74.98
7:00,72.64
7:15,72.49
7:30,68.54
7:45,68.45
8:00,68.69
8:15,67
8:30,72.85
8:45,72.37
9:00,73
9:15,72.28
9:30,71.79
9:45,71.54
10:00,74.37
10:15,71.2
10:30,73.97
10:45,74.28
11:00,74.44
11:15,74.61
11:30,74.96
11:45,74.23
12:00,72.98
12:15,71.87
12:30,72.43
12:45,72.9
13:00,72.74
13:15,73.36
13:30,73.46
13:45,73.33
14:00,75.69
14:15,73.47
14:30,76.8
14:45,76.81
15:00,75.54
15:15,76.95
15:30,84.03
15:45,87.71
16:00,85.99
16:15,86.47
16:30,86.53
16:45,86.66
17:00,86.72
17:15,86.44
17:30,86
17:45,86.28
18:00,85.48
18:15,84.84
18:30,89.02
18:45,93.27
19:00,91.65
19:15,92.08
19:30,90.68
19:45,90.54
20:00,90.95
20:15,90.99
20:30,91.06
20:45,90.89
21:00,90.9
21:15,90.72
21:30,90.04
21:45,89.72
22:00,89.07
22:15,84.93
22:30,84.57
22:45,84.56
23:00,85.33
23:15,84.88
23:30,80.79
23:45,80.13
