Category,Krabi
0:00,92.57
0:15,87.06
0:30,86.91
0:45,86.65
1:00,86.84
1:15,86.54
1:30,86.65
1:45,86.5
2:00,82.01
2:15,82.95
2:30,82.98
2:45,82.22
3:00,81.95
3:15,81.93
3:30,81.65
3:45,81.8
4:00,81.9
4:15,82.13
4:30,82.12
4:45,82.24
5:00,82.21
5:15,82.76
5:30,82.84
5:45,83.07
6:00,83.01
6:15,82.49
6:30,82.21
6:45,82.87
7:00,82.74
7:15,82.98
7:30,82.97
7:45,78.04
8:00,77.88
8:15,81.08
8:30,84.69
8:45,86.55
9:00,86.97
9:15,86.18
9:30,86.63
9:45,86.35
10:00,91.24
10:15,91.33
10:30,92.44
10:45,92.19
11:00,91.82
11:15,92.44
11:30,92.14
11:45,92.23
12:00,91.55
12:15,90.66
12:30,91.17
12:45,90.63
13:00,90.17
13:15,90.34
13:30,89.25
13:45,89.97
14:00,90.04
14:15,93.29
14:30,92.71
14:45,92.77
15:00,93.2
15:15,93.16
15:30,91.3
15:45,90.09
16:00,90.29
16:15,91.24
16:30,93.14
16:45,98.15
17:00,97.92
17:15,98.17
17:30,99.44
17:45,100
18:00,98.3
18:15,95.25
18:30,95.27
18:45,95.41
19:00,96.33
19:15,96.52
19:30,97.12
19:45,96.81
20:00,96.24
20:15,95.48
20:30,95.73
20:45,95.25
21:00,94.07
21:15,94.22
21:30,93.93
21:45,93.66
22:00,93.5
22:15,94.94
22:30,94.91
22:45,89.92
23:00,89.16
23:15,89.63
23:30,85.83
23:45,84.85
