Category,Krabi
0:00,78.78
0:15,78.76
0:30,78.69
0:45,78.26
1:00,78.48
1:15,75.6
1:30,73.49
1:45,73.11
2:00,73.2
2:15,74.45
2:30,74.06
2:45,74.16
3:00,74.1
3:15,73.64
3:30,73.77
3:45,72.78
4:00,73.3
4:15,74.98
4:30,74.02
4:45,74.02
5:00,74.3
5:15,74.12
5:30,75.48
5:45,74.14
6:00,75.68
6:15,75.04
6:30,75.39
6:45,76.67
7:00,76.62
7:15,76.2
7:30,74.89
7:45,75.26
8:00,74.79
8:15,79.87
8:30,80.15
8:45,80.39
9:00,81.8
9:15,85.17
9:30,86.13
9:45,85.41
10:00,84.02
10:15,85.4
10:30,88.59
10:45,87.23
11:00,86.91
11:15,88.97
11:30,86.04
11:45,85.49
12:00,85.9
12:15,87.5
12:30,89.97
12:45,85.19
13:00,85.14
13:15,82.09
13:30,83.49
13:45,85.67
14:00,85.61
14:15,86.52
14:30,84.98
14:45,85.46
15:00,84.58
15:15,83.93
15:30,83.89
15:45,83.36
16:00,83.01
16:15,84.45
16:30,90.3
16:45,84.57
17:00,83.13
17:15,83.11
17:30,83.12
17:45,83.14
18:00,83.35
18:15,83.8
18:30,84.81
18:45,85.26
19:00,93.21
19:15,93.04
19:30,93.39
19:45,93.06
20:00,92.73
20:15,93.27
20:30,93.36
20:45,92.7
21:00,92.16
21:15,91.71
21:30,91.37
21:45,91.3
22:00,91.95
22:15,86.95
22:30,86.39
22:45,85.62
23:00,85.52
23:15,83.26
23:30,83.26
23:45,83.65
