Category,Krabi
0:00,73.98
0:15,73.14
0:30,72.84
0:45,72.37
1:00,72.56
1:15,68.65
1:30,68.74
1:45,68.11
2:00,68.19
2:15,68.2
2:30,67.99
2:45,68.05
3:00,66.77
3:15,66.76
3:30,67.22
3:45,62.54
4:00,62.51
4:15,62.81
4:30,62.86
4:45,62.96
5:00,63.32
5:15,64.64
5:30,64.92
5:45,66.47
6:00,66.98
6:15,68.2
6:30,68.33
6:45,67.9
7:00,67.26
7:15,67.09
7:30,65.77
7:45,64.55
8:00,64.3
8:15,68.26
8:30,80.7
8:45,78.98
9:00,79.72
9:15,75.08
9:30,85.18
9:45,85.15
10:00,85.88
10:15,87.33
10:30,86.24
10:45,87.04
11:00,77.17
11:15,85.85
11:30,85.37
11:45,85.12
12:00,76.21
12:15,83.65
12:30,83.43
12:45,72.12
13:00,80.81
13:15,81.84
13:30,82.81
13:45,74.52
14:00,81.77
14:15,75.3
14:30,82.83
14:45,83.65
15:00,83.38
15:15,82.72
15:30,82.63
15:45,82.87
16:00,81.76
16:15,82.12
16:30,82.24
16:45,82.25
17:00,82.74
17:15,82.77
17:30,80.34
17:45,81.91
18:00,94.71
18:15,95.04
18:30,95.26
18:45,95.57
19:00,95.46
19:15,85.47
19:30,95.32
19:45,92.06
20:00,91.97
20:15,89.7
20:30,89.39
20:45,89.4
21:00,89.17
21:15,89.1
21:30,86.06
21:45,86.01
22:00,85.85
22:15,85.64
22:30,77.2
22:45,80.63
23:00,72.27
23:15,80.39
23:30,75.78
23:45,75.96
