Category,Krabi
0:00,80.34
0:15,80.28
0:30,80.41
0:45,79.84
1:00,80.14
1:15,75.67
1:30,75.25
1:45,75.34
2:00,75.35
2:15,75.32
2:30,75.69
2:45,75.62
3:00,75.32
3:15,75.27
3:30,75.13
3:45,74.69
4:00,75.14
4:15,74.91
4:30,75.07
4:45,75.43
5:00,75.38
5:15,75.58
5:30,75.27
5:45,75.72
6:00,75.9
6:15,76
6:30,78.39
6:45,77.69
7:00,77.52
7:15,77.54
7:30,76.99
7:45,77.92
8:00,78.03
8:15,81.8
8:30,82.35
8:45,84.33
9:00,82.36
9:15,82.76
9:30,83.8
9:45,84.6
10:00,86.22
10:15,87.42
10:30,86.68
10:45,86.27
11:00,87.28
11:15,86.72
11:30,86.77
11:45,86.31
12:00,86.09
12:15,84.58
12:30,84.62
12:45,84.65
13:00,84.46
13:15,84.31
13:30,87.85
13:45,87.46
14:00,88.04
14:15,88.24
14:30,88.2
14:45,88.9
15:00,88.83
15:15,89.62
15:30,89.47
15:45,88.95
16:00,83.59
16:15,73.2
16:30,69.85
16:45,79.2
17:00,77.59
17:15,77.5
17:30,77.7
17:45,78.57
18:00,84.03
18:15,90.2
18:30,93.76
18:45,96.66
19:00,96.68
19:15,96.42
19:30,95.83
19:45,93.38
20:00,93.15
20:15,92.5
20:30,92.11
20:45,91.26
21:00,90.57
21:15,90.18
21:30,88.24
21:45,87.61
22:00,89.83
22:15,91.85
22:30,87.36
22:45,87.32
23:00,85.93
23:15,85.66
23:30,85.31
23:45,85.48
