Category,Krabi
0:00,82.01
0:15,79.18
0:30,78.77
0:45,78.53
1:00,77.83
1:15,76.38
1:30,76.06
1:45,75.76
2:00,75.73
2:15,75.55
2:30,74.6
2:45,74.05
3:00,74.32
3:15,74.96
3:30,75.86
3:45,74.92
4:00,74.78
4:15,74.43
4:30,74.65
4:45,75.45
5:00,75.53
5:15,76.11
5:30,75.08
5:45,75.46
6:00,77.76
6:15,78.24
6:30,79.48
6:45,79.26
7:00,80.09
7:15,78.19
7:30,77.58
7:45,78.71
8:00,77.1
8:15,80.37
8:30,80.51
8:45,83.51
9:00,82.35
9:15,82.68
9:30,84.06
9:45,84.13
10:00,84.62
10:15,84.19
10:30,84.57
10:45,87.01
11:00,87.01
11:15,88.2
11:30,87.26
11:45,89.05
12:00,87.33
12:15,87.1
12:30,86.96
12:45,86.73
13:00,84.85
13:15,84.96
13:30,85.01
13:45,89.71
14:00,89.86
14:15,89.69
14:30,91.36
14:45,90.43
15:00,90.02
15:15,89.8
15:30,90.03
15:45,88.43
16:00,88.37
16:15,87.77
16:30,87.89
16:45,87.98
17:00,86.77
17:15,87.76
17:30,82.5
17:45,82.68
18:00,85.51
18:15,88.97
18:30,92.63
18:45,94.86
19:00,93.85
19:15,93.96
19:30,91.71
19:45,96.92
20:00,93.45
20:15,91.59
20:30,89.5
20:45,87.87
21:00,85.42
21:15,83.75
21:30,84.12
21:45,83.06
22:00,83.61
22:15,85.78
22:30,85.92
22:45,84.76
23:00,83.7
23:15,81.45
23:30,81.02
23:45,79.19
