Category,Krabi
0:00,84.64
0:15,84.91
0:30,84.94
0:45,80.95
1:00,80.52
1:15,80.53
1:30,80.18
1:45,80.24
2:00,80.51
2:15,80.67
2:30,80.57
2:45,80.34
3:00,80.12
3:15,80.31
3:30,80.2
3:45,80.17
4:00,76.16
4:15,75.9
4:30,75.77
4:45,76.18
5:00,76.02
5:15,76.53
5:30,76.68
5:45,76.68
6:00,76.71
6:15,81.63
6:30,81.51
6:45,81.45
7:00,81.38
7:15,79.94
7:30,79.69
7:45,78.64
8:00,79.21
8:15,79.19
8:30,79.75
8:45,79.1
9:00,75.84
9:15,81.28
9:30,80.69
9:45,80.5
10:00,80.27
10:15,80.02
10:30,81.16
10:45,80.87
11:00,82.52
11:15,82.19
11:30,82.17
11:45,82.17
12:00,80.94
12:15,80.87
12:30,81.4
12:45,80.79
13:00,80.55
13:15,81.18
13:30,80.52
13:45,79.75
14:00,79.91
14:15,79.97
14:30,80.26
14:45,80.55
15:00,79.73
15:15,78.33
15:30,75.83
15:45,75.67
16:00,75.88
16:15,76.09
16:30,76.44
16:45,76.31
17:00,76.36
17:15,76.44
17:30,76.15
17:45,76.13
18:00,80.89
18:15,81.26
18:30,81.5
18:45,86.47
19:00,86.87
19:15,87.03
19:30,86.49
19:45,86.74
20:00,86.63
20:15,86.04
20:30,85.93
20:45,85.93
21:00,85.24
21:15,84.3
21:30,84.14
21:45,84.58
22:00,83.94
22:15,79.83
22:30,79.47
22:45,79.73
23:00,80.71
23:15,76.2
23:30,75.96
23:45,75.83
