Category,Krabi
0:00,81.24
0:15,80.99
0:30,80.9
0:45,75.69
1:00,77
1:15,76.24
1:30,76.35
1:45,76.21
2:00,75.98
2:15,75.98
2:30,76.32
2:45,76.41
3:00,76.19
3:15,76.36
3:30,76.37
3:45,76.28
4:00,71.92
4:15,72.37
4:30,72.36
4:45,72.3
5:00,72.6
5:15,72.8
5:30,72.87
5:45,72.92
6:00,72.71
6:15,73.07
6:30,77.48
6:45,77.96
7:00,78.39
7:15,78.29
7:30,78.1
7:45,77.67
8:00,77.75
8:15,78.02
8:30,81.74
8:45,81.34
9:00,82.13
9:15,82.3
9:30,82.61
9:45,82.71
10:00,87.13
10:15,87.39
10:30,86.9
10:45,84.73
11:00,84.79
11:15,84.36
11:30,84.52
11:45,84.57
12:00,84.25
12:15,84.39
12:30,84.45
12:45,84.46
13:00,84.49
13:15,84.96
13:30,85.31
13:45,84.36
14:00,85.61
14:15,85.9
14:30,85.63
14:45,88.29
15:00,87.84
15:15,87.98
15:30,88.47
15:45,89.28
16:00,88.8
16:15,88.65
16:30,88.44
16:45,88.3
17:00,89.3
17:15,88.93
17:30,89.16
17:45,89.32
18:00,90.61
18:15,91
18:30,96.08
18:45,97.54
19:00,98.13
19:15,98.06
19:30,98.08
19:45,97.94
20:00,98.04
20:15,97.46
20:30,97.58
20:45,97.58
21:00,97.58
21:15,97.51
21:30,97.51
21:45,97.55
22:00,92.98
22:15,92.96
22:30,92.85
22:45,88.37
23:00,86.97
23:15,86.92
23:30,86.97
23:45,82.47
