Category,Krabi
0:00,83.86
0:15,84.98
0:30,80.94
0:45,82.08
1:00,80.61
1:15,81.06
1:30,80.76
1:45,80.66
2:00,80.85
2:15,82.87
2:30,78.33
2:45,78.45
3:00,78.23
3:15,78.57
3:30,78.13
3:45,78.48
4:00,78.68
4:15,78.42
4:30,79.01
4:45,75.49
5:00,75.49
5:15,75.72
5:30,75.79
5:45,75.95
6:00,76.25
6:15,79.68
6:30,77.44
6:45,80.66
7:00,81.54
7:15,81.06
7:30,80.4
7:45,80.26
8:00,79.48
8:15,80.35
8:30,80.75
8:45,82.64
9:00,91.5
9:15,93.2
9:30,95.09
9:45,95.47
10:00,95.49
10:15,94.93
10:30,96.52
10:45,96.38
11:00,95.43
11:15,94.49
11:30,93.51
11:45,93.61
12:00,93.32
12:15,98.18
12:30,97.93
12:45,97.19
13:00,97.58
13:15,98.05
13:30,97.71
13:45,94.89
14:00,94.5
14:15,94.16
14:30,93.85
14:45,93.07
15:00,92.8
15:15,93.67
15:30,94.58
15:45,93.53
16:00,94.92
16:15,94.09
16:30,93.8
16:45,94.24
17:00,94.78
17:15,94.8
17:30,95.94
17:45,94.5
18:00,94.31
18:15,88.12
18:30,87.87
18:45,89.37
19:00,91.2
19:15,92.01
19:30,91.86
19:45,
20:00,92.78
20:15,92.88
20:30,92.93
20:45,92.68
21:00,92.4
21:15,92.21
21:30,92.66
21:45,92.8
22:00,92.13
22:15,92.02
22:30,91.84
22:45,91.61
23:00,91.21
23:15,90.54
23:30,88.07
23:45,87.13
