Category,Krabi
0:00,73.67
0:15,73.61
0:30,73.51
0:45,65.86
1:00,69.44
1:15,68.95
1:30,68.91
1:45,68.83
2:00,68.42
2:15,67.78
2:30,67.77
2:45,67.9
3:00,67.79
3:15,68.29
3:30,68.29
3:45,66.54
4:00,66.85
4:15,66.87
4:30,66.46
4:45,66.47
5:00,66.6
5:15,66.69
5:30,66.85
5:45,70.42
6:00,71.02
6:15,70.92
6:30,71.15
6:45,71.17
7:00,71.08
7:15,70.96
7:30,71.03
7:45,71.02
8:00,71.22
8:15,71.2
8:30,75.79
8:45,67.63
9:00,75.96
9:15,76.01
9:30,79.37
9:45,79.31
10:00,79.39
10:15,79.46
10:30,79.46
10:45,79.63
11:00,79.58
11:15,79.2
11:30,79.21
11:45,79.16
12:00,79.2
12:15,79.18
12:30,74.79
12:45,74.79
13:00,74.5
13:15,74.59
13:30,74.77
13:45,74.76
14:00,74.63
14:15,75.27
14:30,74.52
14:45,74.1
15:00,73.71
15:15,74.9
15:30,74.94
15:45,76.06
16:00,75.97
16:15,75.88
16:30,76.39
16:45,76.59
17:00,76.76
17:15,77.27
17:30,77.99
17:45,82.75
18:00,85.15
18:15,91.25
18:30,93.36
18:45,93.6
19:00,93.72
19:15,93.36
19:30,83.22
19:45,93.72
20:00,92.23
20:15,91.84
20:30,91.25
20:45,91.13
21:00,93.32
21:15,90.74
21:30,89.8
21:45,89.53
22:00,89.24
22:15,85
22:30,77.69
22:45,83.24
23:00,83.22
23:15,79.08
23:30,78.46
23:45,77.92
