Category,Krabi
0:00,77.18
0:15,76.21
0:30,76.29
0:45,75.9
1:00,77.1
1:15,77.19
1:30,76.44
1:45,76.34
2:00,76.71
2:15,72.13
2:30,72.43
2:45,71.95
3:00,72.35
3:15,71.91
3:30,71.78
3:45,73
4:00,71.81
4:15,72.1
4:30,70.84
4:45,71.19
5:00,70.93
5:15,71.16
5:30,72.22
5:45,72.34
6:00,72.32
6:15,73.42
6:30,73.84
6:45,73.68
7:00,73.83
7:15,74.07
7:30,72.56
7:45,78.37
8:00,78.36
8:15,77.8
8:30,78.58
8:45,80.14
9:00,81.06
9:15,80.7
9:30,80.86
9:45,80.4
10:00,83.66
10:15,83.84
10:30,80.15
10:45,80.76
11:00,81.74
11:15,82.18
11:30,82.23
11:45,82.61
12:00,82.19
12:15,82.72
12:30,83.42
12:45,84.39
13:00,82.48
13:15,83.11
13:30,82.82
13:45,81.12
14:00,80.97
14:15,82.23
14:30,81.64
14:45,80.3
15:00,81.38
15:15,80.93
15:30,81.84
15:45,81.95
16:00,81.61
16:15,81.72
16:30,81.8
16:45,81.61
17:00,83.28
17:15,82.4
17:30,82.54
17:45,82.79
18:00,87.12
18:15,86.15
18:30,91.13
18:45,91.02
19:00,90.94
19:15,90.49
19:30,94.82
19:45,94.76
20:00,94.35
20:15,90.78
20:30,91.13
20:45,86.96
21:00,86.64
21:15,86.43
21:30,85.31
21:45,86.16
22:00,81.55
22:15,81.19
22:30,80.68
22:45,80.24
23:00,80.2
23:15,80.15
23:30,75.63
23:45,75.15
