Category,Krabi
0:00,79.27
0:15,77.53
0:30,76.05
0:45,75.82
1:00,74.45
1:15,74.32
1:30,72.34
1:45,72.25
2:00,71.86
2:15,71.59
2:30,71.11
2:45,71.2
3:00,70.29
3:15,70.12
3:30,69.98
3:45,68.74
4:00,68.91
4:15,68.62
4:30,70.18
4:45,70.41
5:00,71.13
5:15,72.17
5:30,73.01
5:45,73.67
6:00,74.2
6:15,75.33
6:30,76.19
6:45,75.92
7:00,75.83
7:15,75.87
7:30,74.91
7:45,75.28
8:00,75.45
8:15,77.42
8:30,78.98
8:45,80.37
9:00,82.73
9:15,82.06
9:30,82.96
9:45,82.7
10:00,82.76
10:15,83.65
10:30,83.3
10:45,83.17
11:00,82.71
11:15,82.95
11:30,82.91
11:45,82.42
12:00,81.58
12:15,80.1
12:30,79.43
12:45,79.84
13:00,79.69
13:15,81.47
13:30,82.19
13:45,82.59
14:00,84.1
14:15,84.64
14:30,84.77
14:45,86.74
15:00,84.39
15:15,85.6
15:30,85.61
15:45,86.83
16:00,87.19
16:15,87.8
16:30,87.64
16:45,88.44
17:00,89.79
17:15,90.6
17:30,90.59
17:45,92.76
18:00,92.74
18:15,94.86
18:30,100.76
18:45,101.75
19:00,101.5
19:15,101.26
19:30,100.3
19:45,98.91
20:00,97.85
20:15,95.87
20:30,95.77
20:45,95.19
21:00,94.34
21:15,93.56
21:30,92.4
21:45,92.01
22:00,92.48
22:15,91.78
22:30,88.99
22:45,88.32
23:00,87.55
23:15,85.25
23:30,83.85
23:45,82.82
