Category,Krabi
0:00,85.3
0:15,81.22
0:30,81.19
0:45,80.93
1:00,80.79
1:15,80.63
1:30,76.41
1:45,79.01
2:00,76.1
2:15,77.07
2:30,77.15
2:45,77
3:00,76.89
3:15,76.65
3:30,76.89
3:45,76.18
4:00,76.81
4:15,76.78
4:30,76.95
4:45,77.02
5:00,77.51
5:15,77.34
5:30,77.81
5:45,77.65
6:00,78
6:15,78.12
6:30,77.84
6:45,77.13
7:00,77.48
7:15,77.9
7:30,77.49
7:45,80.66
8:00,78.38
8:15,78.3
8:30,78.92
8:45,78.06
9:00,81.24
9:15,81.79
9:30,82.2
9:45,82.06
10:00,81.88
10:15,86.03
10:30,86.01
10:45,86.08
11:00,86.48
11:15,86.55
11:30,86.69
11:45,86.66
12:00,86.24
12:15,86.26
12:30,86.39
12:45,86.51
13:00,85.27
13:15,86.93
13:30,87.27
13:45,85.46
14:00,85.95
14:15,85.71
14:30,85.38
14:45,85.53
15:00,86.46
15:15,87.8
15:30,86.33
15:45,86.42
16:00,86.88
16:15,86.43
16:30,85.93
16:45,85.92
17:00,85.95
17:15,86.55
17:30,87.18
17:45,87.29
18:00,87.91
18:15,88.74
18:30,88.73
18:45,91.53
19:00,92.04
19:15,91.65
19:30,91.61
19:45,91.63
20:00,91.51
20:15,91.56
20:30,91.78
20:45,91.32
21:00,91.3
21:15,91.12
21:30,87.25
21:45,87.27
22:00,86.59
22:15,86.56
22:30,86.79
22:45,86.89
23:00,82.1
23:15,82.41
23:30,82.34
23:45,82.4
