Category,Krabi
0:00,90.69
0:15,90.49
0:30,88.34
0:45,88.25
1:00,85
1:15,84.63
1:30,84.54
1:45,83.84
2:00,83.8
2:15,83.85
2:30,83.81
2:45,78.91
3:00,79.37
3:15,77.77
3:30,77.47
3:45,77.13
4:00,77.4
4:15,77.26
4:30,77.22
4:45,76.89
5:00,75.63
5:15,75.8
5:30,75.64
5:45,75.74
6:00,76.69
6:15,76.9
6:30,77.02
6:45,77.62
7:00,78.2
7:15,78.38
7:30,78.17
7:45,76.85
8:00,76.68
8:15,76.76
8:30,76.87
8:45,76.73
9:00,77.3
9:15,80.41
9:30,80.8
9:45,80.8
10:00,80.94
10:15,80.87
10:30,84.79
10:45,85.02
11:00,85
11:15,84.79
11:30,85.2
11:45,84.93
12:00,85.14
12:15,85.37
12:30,83.6
12:45,82.94
13:00,82.79
13:15,82.85
13:30,83.34
13:45,83.74
14:00,84.13
14:15,84.65
14:30,86.1
14:45,84.59
15:00,84.26
15:15,84.03
15:30,84.11
15:45,83.56
16:00,83.4
16:15,83.5
16:30,83.1
16:45,84.05
17:00,84.09
17:15,84.96
17:30,84.86
17:45,84.72
18:00,83.47
18:15,84.11
18:30,86.83
18:45,92.44
19:00,95.08
19:15,100.6
19:30,100.89
19:45,101.28
20:00,100.4
20:15,100.24
20:30,99.88
20:45,99.26
21:00,98.93
21:15,98.58
21:30,96.93
21:45,96.89
22:00,96.73
22:15,96.19
22:30,95.8
22:45,95.54
23:00,91.66
23:15,91.75
23:30,91.08
23:45,88.81
