Category,Krabi
0:00,88.86
0:15,88.77
0:30,88.38
0:45,88.02
1:00,83.68
1:15,83.47
1:30,83.55
1:45,83.63
2:00,83.32
2:15,83.26
2:30,83.06
2:45,78.93
3:00,79.33
3:15,79.41
3:30,79.65
3:45,79.31
4:00,79.04
4:15,79.1
4:30,79.11
4:45,79.03
5:00,78.16
5:15,78.09
5:30,78.31
5:45,78.54
6:00,78.76
6:15,79.01
6:30,79.1
6:45,79.01
7:00,79
7:15,79.25
7:30,79.44
7:45,79.25
8:00,78.75
8:15,77.09
8:30,77.22
8:45,77.18
9:00,77.4
9:15,77.23
9:30,77.02
9:45,80.9
10:00,80.17
10:15,80.42
10:30,81.22
10:45,81.13
11:00,80
11:15,83.68
11:30,84.2
11:45,84.36
12:00,85.56
12:15,85.56
12:30,85.55
12:45,85.37
13:00,85.64
13:15,85.39
13:30,86.49
13:45,86.97
14:00,87.49
14:15,86.11
14:30,86.3
14:45,86.26
15:00,86.57
15:15,86.74
15:30,87.65
15:45,87.05
16:00,86.52
16:15,86.59
16:30,86.54
16:45,85.62
17:00,88.38
17:15,88.43
17:30,88.54
17:45,88.54
18:00,90.74
18:15,90.5
18:30,90.69
18:45,90.77
19:00,90.54
19:15,90.2
19:30,90.76
19:45,95.73
20:00,100.91
20:15,101.15
20:30,102.04
20:45,102.01
21:00,102.22
21:15,102.47
21:30,102.36
21:45,97.54
22:00,97.25
22:15,99
22:30,98.31
22:45,93.9
23:00,93.16
23:15,93
23:30,88.73
23:45,88.27
