Category,Krabi
0:00,85.19
0:15,85.44
0:30,85.45
0:45,80.98
1:00,80.86
1:15,80.65
1:30,80.44
1:45,80.42
2:00,80.38
2:15,80.57
2:30,76.32
2:45,76.66
3:00,77.32
3:15,78.8
3:30,79.09
3:45,78.78
4:00,78.37
4:15,77.88
4:30,77.97
4:45,78.42
5:00,78.18
5:15,78.31
5:30,78.56
5:45,78.72
6:00,78.91
6:15,79.29
6:30,80.04
6:45,78.44
7:00,78
7:15,77.39
7:30,77.7
7:45,77.65
8:00,78.14
8:15,78.5
8:30,82.99
8:45,84.1
9:00,84.25
9:15,83.7
9:30,82.95
9:45,83.77
10:00,87.15
10:15,87.69
10:30,87.33
10:45,86.91
11:00,86.95
11:15,87.11
11:30,86.77
11:45,86.32
12:00,85.46
12:15,86.47
12:30,86.81
12:45,86.76
13:00,87.02
13:15,87.59
13:30,87.52
13:45,87.9
14:00,87.68
14:15,89.47
14:30,88
14:45,88
15:00,88.06
15:15,87.81
15:30,87.54
15:45,87.58
16:00,87.3
16:15,87.06
16:30,87.9
16:45,87.6
17:00,83.49
17:15,84.89
17:30,85.07
17:45,86.77
18:00,87.23
18:15,86.37
18:30,87.46
18:45,86.6
19:00,92.16
19:15,92.38
19:30,92.28
19:45,94.43
20:00,93.01
20:15,91.66
20:30,92.25
20:45,90.15
21:00,92.97
21:15,90.64
21:30,91.13
21:45,90.77
22:00,89.49
22:15,92.04
22:30,91.7
22:45,91.07
23:00,90.78
23:15,89.31
23:30,90.12
23:45,90.34
