Category,Krabi
0:00,82.92
0:15,82.84
0:30,82.94
0:45,83.11
1:00,78.74
1:15,78.52
1:30,78.41
1:45,78.78
2:00,78.73
2:15,78.41
2:30,78.3
2:45,78.28
3:00,78.53
3:15,78.54
3:30,78.33
3:45,79.8
4:00,79.61
4:15,79.71
4:30,80.11
4:45,80.13
5:00,78.82
5:15,78.7
5:30,79.32
5:45,79.17
6:00,80.1
6:15,80.08
6:30,79.78
6:45,79.41
7:00,79.41
7:15,79.34
7:30,80.16
7:45,80.14
8:00,80.28
8:15,80.57
8:30,80.12
8:45,77.04
9:00,77.3
9:15,77.01
9:30,77.11
9:45,77.68
10:00,75.27
10:15,76.01
10:30,76.01
10:45,76.07
11:00,74.35
11:15,74.44
11:30,78.42
11:45,83.85
12:00,83.65
12:15,83.31
12:30,83.6
12:45,83.69
13:00,84.09
13:15,84.86
13:30,84.96
13:45,83.12
14:00,83.13
14:15,83.21
14:30,83.27
14:45,83.37
15:00,81.99
15:15,83.16
15:30,83.04
15:45,82.41
16:00,82.26
16:15,82.04
16:30,81.84
16:45,81.83
17:00,81.75
17:15,81.67
17:30,81.44
17:45,81.39
18:00,81.67
18:15,83.32
18:30,89.08
18:45,89.57
19:00,93.64
19:15,93.47
19:30,93.74
19:45,94.34
20:00,94.33
20:15,94.73
20:30,94.51
20:45,94.09
21:00,93.93
21:15,94.13
21:30,93.78
21:45,93.49
22:00,89.01
22:15,88.24
22:30,88.46
22:45,86.77
23:00,85.46
23:15,81.31
23:30,81.41
23:45,80.85
