Category,Krabi
0:00,85.26
0:15,79.74
0:30,79.76
0:45,79.55
1:00,79.5
1:15,79.27
1:30,79.3
1:45,79.35
2:00,79.12
2:15,79.2
2:30,79.32
2:45,79.39
3:00,79.34
3:15,79.3
3:30,79.2
3:45,79.01
4:00,74.86
4:15,75.09
4:30,74.03
4:45,74.16
5:00,74.12
5:15,74.38
5:30,74.43
5:45,75.55
6:00,75.62
6:15,74.18
6:30,73.92
6:45,74.13
7:00,74.1
7:15,74.22
7:30,73.93
7:45,74.16
8:00,74.17
8:15,77.97
8:30,78.2
8:45,78.75
9:00,78.08
9:15,83.25
9:30,82.28
9:45,82.49
10:00,82.6
10:15,82.8
10:30,83.34
10:45,83.14
11:00,83.01
11:15,85.72
11:30,85.08
11:45,86.07
12:00,85.66
12:15,85.65
12:30,86.06
12:45,86.44
13:00,86.19
13:15,86.37
13:30,86.48
13:45,86.76
14:00,87.05
14:15,87.16
14:30,87.25
14:45,87.15
15:00,87.23
15:15,87.3
15:30,87.69
15:45,88.11
16:00,87.38
16:15,88.35
16:30,89.6
16:45,91.09
17:00,88.97
17:15,88.08
17:30,88.77
17:45,89.47
18:00,90.23
18:15,91.44
18:30,95.39
18:45,94.58
19:00,95.7
19:15,95.69
19:30,95.99
19:45,94.95
20:00,94.91
20:15,94.34
20:30,93.99
20:45,93.35
21:00,93.34
21:15,92.86
21:30,92.6
21:45,92.69
22:00,93.37
22:15,92.33
22:30,92.58
22:45,89.01
23:00,87.6
23:15,86.11
23:30,85.79
23:45,85.76
