Category,Krabi
0:00,82.64
0:15,83.14
0:30,79.01
0:45,78.89
1:00,79.09
1:15,79.1
1:30,78.66
1:45,78.25
2:00,78.5
2:15,78.81
2:30,78.74
2:45,78.87
3:00,74.57
3:15,74.43
3:30,74.32
3:45,74.54
4:00,74.81
4:15,77.03
4:30,79.83
4:45,77.43
5:00,76.9
5:15,76.86
5:30,75.64
5:45,75.87
6:00,76.47
6:15,78.81
6:30,77.98
6:45,77.93
7:00,77.49
7:15,77.08
7:30,74.61
7:45,75.21
8:00,74.68
8:15,73.51
8:30,73.84
8:45,74.42
9:00,74.87
9:15,74.97
9:30,78.96
9:45,82.84
10:00,84.26
10:15,84.51
10:30,83.32
10:45,83.16
11:00,82.87
11:15,83.47
11:30,83.12
11:45,81.85
12:00,82.11
12:15,80.74
12:30,80.67
12:45,80.66
13:00,80.5
13:15,81.3
13:30,81.88
13:45,81.96
14:00,79.54
14:15,79.53
14:30,80.81
14:45,81.03
15:00,80.58
15:15,78.52
15:30,79.76
15:45,79.84
16:00,80.03
16:15,80.99
16:30,80.79
16:45,78.8
17:00,78.44
17:15,78.56
17:30,78.55
17:45,77.57
18:00,82.79
18:15,87.01
18:30,86.73
18:45,90.8
19:00,92.21
19:15,91.42
19:30,91.37
19:45,91.43
20:00,91.07
20:15,90.81
20:30,91.24
20:45,93.69
21:00,91.96
21:15,91.2
21:30,91.3
21:45,91.34
22:00,90.82
22:15,86.33
22:30,86.51
22:45,85.91
23:00,86.58
23:15,82.23
23:30,82.03
23:45,81.57
