Category,Krabi
0:00,80.02
0:15,80.32
0:30,79.62
0:45,79.23
1:00,78.88
1:15,78.85
1:30,78.5
1:45,75.37
2:00,74.26
2:15,73.94
2:30,74.39
2:45,74.13
3:00,73.94
3:15,73.77
3:30,73.65
3:45,73.45
4:00,71.03
4:15,71.2
4:30,71.28
4:45,72.2
5:00,71.8
5:15,72.4
5:30,72.64
5:45,72.71
6:00,73.09
6:15,74.38
6:30,74.14
6:45,72.91
7:00,71.56
7:15,72.6
7:30,72.98
7:45,73.09
8:00,73.25
8:15,73.1
8:30,77.2
8:45,79.24
9:00,79.76
9:15,79.7
9:30,79.57
9:45,78.6
10:00,78.56
10:15,82.87
10:30,82.97
10:45,83.01
11:00,82.98
11:15,82.88
11:30,83.59
11:45,82.53
12:00,82.03
12:15,82.59
12:30,82.35
12:45,82.25
13:00,82.7
13:15,84
13:30,84.5
13:45,83.78
14:00,81.87
14:15,83.36
14:30,82.94
14:45,83.92
15:00,85.14
15:15,85.49
15:30,84.4
15:45,86.89
16:00,86.74
16:15,88.3
16:30,89.16
16:45,88.99
17:00,90.84
17:15,91.32
17:30,91.32
17:45,91.13
18:00,88.19
18:15,90.74
18:30,95.02
18:45,94.74
19:00,92.34
19:15,91.41
19:30,90.35
19:45,90.22
20:00,90.42
20:15,88.95
20:30,88.16
20:45,86.42
21:00,84.78
21:15,84.88
21:30,84.83
21:45,84.66
22:00,85.14
22:15,82.35
22:30,82.79
22:45,82.1
23:00,79.55
23:15,78.92
23:30,77.88
23:45,77.72
