Category,Krabi
0:00,77.6
0:15,77.52
0:30,76.73
0:45,75.94
1:00,75.82
1:15,74.58
1:30,73.46
1:45,73.07
2:00,67.8
2:15,72.08
2:30,71.04
2:45,71.11
3:00,70
3:15,69.3
3:30,69.14
3:45,68.9
4:00,68.83
4:15,69.02
4:30,69.28
4:45,70.3
5:00,71.1
5:15,72.33
5:30,72.98
5:45,73
6:00,72.9
6:15,76.51
6:30,79.02
6:45,78.23
7:00,76.68
7:15,76.07
7:30,75.45
7:45,76.32
8:00,77.95
8:15,78.62
8:30,79.41
8:45,80.24
9:00,81.55
9:15,82.7
9:30,83.97
9:45,83.96
10:00,84.88
10:15,85.87
10:30,86.35
10:45,86.06
11:00,86.31
11:15,86.58
11:30,87.09
11:45,87.55
12:00,86.36
12:15,84.88
12:30,84.93
12:45,84.92
13:00,86.22
13:15,84.98
13:30,87.41
13:45,86.29
14:00,85.49
14:15,85.82
14:30,85.58
14:45,85.3
15:00,84.28
15:15,85.78
15:30,90.2
15:45,89.21
16:00,87.28
16:15,85.52
16:30,86.48
16:45,86.74
17:00,82.2
17:15,85.9
17:30,86.27
17:45,85.83
18:00,86.68
18:15,87.44
18:30,91.47
18:45,94.65
19:00,93.26
19:15,92.64
19:30,92.93
19:45,93.1
20:00,92.93
20:15,91.02
20:30,90.91
20:45,89.95
21:00,88.85
21:15,88.44
21:30,86.73
21:45,84.58
22:00,83.1
22:15,82.44
22:30,81.97
22:45,80.38
23:00,79.07
23:15,80.47
23:30,79.82
23:45,79.81
