Category,Krabi
0:00,82.82
0:15,82.51
0:30,82.74
0:45,82.47
1:00,82.15
1:15,81.86
1:30,77.69
1:45,77.69
2:00,77.71
2:15,77.58
2:30,77.86
2:45,78.92
3:00,78.48
3:15,74.57
3:30,74.52
3:45,74.34
4:00,74.36
4:15,75.67
4:30,75.02
4:45,74.52
5:00,74.48
5:15,74.84
5:30,75.24
5:45,75.61
6:00,75.84
6:15,76.4
6:30,75.64
6:45,75.88
7:00,76.32
7:15,74.36
7:30,74.43
7:45,74
8:00,73.77
8:15,77.6
8:30,78.55
8:45,82.1
9:00,81.68
9:15,83.92
9:30,83.32
9:45,83.54
10:00,89.1
10:15,89.07
10:30,88.96
10:45,91.09
11:00,89.13
11:15,88.68
11:30,90.02
11:45,91.36
12:00,90.07
12:15,90.68
12:30,90.82
12:45,91.3
13:00,90.99
13:15,90.92
13:30,92.78
13:45,91.23
14:00,91.35
14:15,91.42
14:30,91.5
14:45,87.49
15:00,87.51
15:15,86.14
15:30,84.79
15:45,85.54
16:00,86.55
16:15,86.75
16:30,86.85
16:45,87.06
17:00,86.99
17:15,83.38
17:30,83.58
17:45,83.43
18:00,83.55
18:15,79.69
18:30,85.28
18:45,89.07
19:00,88.32
19:15,88.24
19:30,89.6
19:45,89.09
20:00,89.69
20:15,89.36
20:30,88.77
20:45,87.63
21:00,87.39
21:15,87.46
21:30,89.2
21:45,89.05
22:00,89.22
22:15,96.06
22:30,95.44
22:45,95.11
23:00,95.7
23:15,88.14
23:30,88.32
23:45,87.74
