Category,Krabi
0:00,81.42
0:15,80.69
0:30,79.51
0:45,78.88
1:00,77.31
1:15,76.65
1:30,76.19
1:45,75.32
2:00,74.93
2:15,74.48
2:30,73.97
2:45,73.98
3:00,72.74
3:15,71.55
3:30,71.46
3:45,71.49
4:00,72.21
4:15,72.05
4:30,71.78
4:45,73.02
5:00,72.85
5:15,74.33
5:30,75.72
5:45,75.89
6:00,76.81
6:15,79.32
6:30,79.61
6:45,79.79
7:00,79.5
7:15,78.2
7:30,78.42
7:45,78.67
8:00,78.57
8:15,80.01
8:30,84.02
8:45,84.21
9:00,85.34
9:15,84.96
9:30,86.06
9:45,86.83
10:00,86.27
10:15,86.42
10:30,87.93
10:45,90.88
11:00,90.38
11:15,90.98
11:30,90.45
11:45,89.87
12:00,88.86
12:15,88.33
12:30,86.96
12:45,87.15
13:00,88.01
13:15,90.56
13:30,89.81
13:45,91.59
14:00,92.13
14:15,92.55
14:30,92.75
14:45,92.23
15:00,93.07
15:15,93.34
15:30,94.14
15:45,91.97
16:00,92.08
16:15,91.88
16:30,92.02
16:45,91.75
17:00,92.33
17:15,92.64
17:30,94.39
17:45,94.7
18:00,96.5
18:15,100.07
18:30,102.57
18:45,103.51
19:00,103.9
19:15,103.18
19:30,102.57
19:45,101.65
20:00,101.03
20:15,96.9
20:30,95.73
20:45,95.59
21:00,94.42
21:15,93.07
21:30,92.05
21:45,90.32
22:00,91.12
22:15,91.67
22:30,91.25
22:45,89.87
23:00,87.32
23:15,86.48
23:30,84.77
23:45,83.28
