Category,Krabi
0:00,87.13
0:15,86.94
0:30,82.8
0:45,82.5
1:00,82.41
1:15,81.55
1:30,82.02
1:45,82
2:00,77.55
2:15,76.33
2:30,75.85
2:45,75.77
3:00,75.71
3:15,75.89
3:30,75.64
3:45,75.49
4:00,75.62
4:15,76.03
4:30,75.97
4:45,76.06
5:00,75.24
5:15,75.21
5:30,75.42
5:45,75.92
6:00,76.3
6:15,76.96
6:30,77.33
6:45,77.76
7:00,77.61
7:15,78.98
7:30,77.41
7:45,77.03
8:00,77.01
8:15,78.65
8:30,83.81
8:45,79.21
9:00,77.57
9:15,75.01
9:30,79.38
9:45,79.76
10:00,81.29
10:15,84.17
10:30,82.96
10:45,88.42
11:00,88.6
11:15,90.41
11:30,89.93
11:45,90.09
12:00,88.93
12:15,89.52
12:30,88.88
12:45,89.86
13:00,89.87
13:15,91.14
13:30,90.22
13:45,90.36
14:00,90.73
14:15,94.59
14:30,90.26
14:45,91.65
15:00,91.86
15:15,91.49
15:30,90.88
15:45,90.25
16:00,90.3
16:15,90.33
16:30,90.31
16:45,91.85
17:00,90.36
17:15,90.28
17:30,90.11
17:45,84.7
18:00,84.82
18:15,83.21
18:30,83.46
18:45,84.87
19:00,90.54
19:15,91.45
19:30,91.74
19:45,96.23
20:00,95.78
20:15,95.66
20:30,95.52
20:45,95.22
21:00,94.87
21:15,94.77
21:30,94.4
21:45,93.85
22:00,96.03
22:15,101.56
22:30,97.46
22:45,98.04
23:00,98.87
23:15,98.07
23:30,93.71
23:45,92.39
