Category,Krabi
0:00,80.33
0:15,81.2
0:30,77.07
0:45,77.07
1:00,76.66
1:15,77.45
1:30,77.65
1:45,77.82
2:00,77.86
2:15,78.05
2:30,78
2:45,78.08
3:00,77.83
3:15,77.7
3:30,77.92
3:45,77.7
4:00,73.68
4:15,73.65
4:30,73.57
4:45,73.71
5:00,74.06
5:15,74.59
5:30,74.87
5:45,75.18
6:00,81.02
6:15,81.71
6:30,83.07
6:45,82.93
7:00,73.21
7:15,79.15
7:30,75.29
7:45,75.52
8:00,75.95
8:15,76.94
8:30,76.45
8:45,58.01
9:00,54.73
9:15,53.6
9:30,52.68
9:45,52.53
10:00,52.98
10:15,52.94
10:30,53.51
10:45,53.48
11:00,54.54
11:15,53.77
11:30,50.64
11:45,50.41
12:00,47.18
12:15,45.13
12:30,45.54
12:45,47.93
13:00,44.1
13:15,48.89
13:30,58.73
13:45,62.37
14:00,62.24
14:15,63.09
14:30,65.65
14:45,65.03
15:00,65.44
15:15,63.79
15:30,63.13
15:45,63.73
16:00,64.32
16:15,86.98
16:30,88.25
16:45,87.94
17:00,87.5
17:15,86.61
17:30,87.6
17:45,86.66
18:00,86.57
18:15,82.49
18:30,85.44
18:45,85.69
19:00,87.12
19:15,87.77
19:30,87.03
19:45,86.07
20:00,84.23
20:15,83.96
20:30,83.77
20:45,83.86
21:00,82.58
21:15,84.43
21:30,84.08
21:45,83.61
22:00,87.41
22:15,85.77
22:30,85.42
22:45,85.72
23:00,81.97
23:15,82.38
23:30,82.19
23:45,81.68
