Category,Krabi
0:00,92.51
0:15,91.88
0:30,87.66
0:45,87.87
1:00,87.68
1:15,87.49
1:30,87.57
1:45,87.7
2:00,87.36
2:15,86
2:30,81.83
2:45,81.83
3:00,81.69
3:15,81.75
3:30,81.71
3:45,81.62
4:00,77.62
4:15,77.68
4:30,77.49
4:45,77.71
5:00,77.7
5:15,79.09
5:30,83.52
5:45,83.84
6:00,83.85
6:15,82.86
6:30,81.6
6:45,81.65
7:00,81.71
7:15,82.3
7:30,81.59
7:45,81.61
8:00,81.02
8:15,79.96
8:30,85.62
8:45,86.06
9:00,89.26
9:15,87.46
9:30,85.07
9:45,88.66
10:00,88.01
10:15,88.47
10:30,87.67
10:45,88.13
11:00,87.93
11:15,88.25
11:30,88.03
11:45,87.77
12:00,88.1
12:15,90.18
12:30,90.47
12:45,88.94
13:00,88.9
13:15,89.3
13:30,92.77
13:45,93.79
14:00,94.15
14:15,94.61
14:30,93.97
14:45,93.84
15:00,98.41
15:15,90.78
15:30,90.49
15:45,96.29
16:00,92.51
16:15,84.62
16:30,84.36
16:45,84.4
17:00,83.24
17:15,85.41
17:30,83.89
17:45,83.81
18:00,84.29
18:15,84.71
18:30,85.68
18:45,89.37
19:00,93.95
19:15,95.27
19:30,94.01
19:45,93.67
20:00,94.01
20:15,93.01
20:30,92.8
20:45,91.95
21:00,90.66
21:15,89.62
21:30,88.79
21:45,88.7
22:00,88.87
22:15,91
22:30,90.9
22:45,91.68
23:00,86.37
23:15,87.61
23:30,87.38
23:45,87.11
