Category,Krabi
0:00,81.35
0:15,81.83
0:30,77.43
0:45,77.58
1:00,77.29
1:15,78.17
1:30,78.34
1:45,78.36
2:00,78.52
2:15,78.44
2:30,78.54
2:45,78.14
3:00,78.1
3:15,73.98
3:30,73.95
3:45,74
4:00,74.11
4:15,74.09
4:30,74.33
4:45,74.29
5:00,74.64
5:15,75.25
5:30,75.59
5:45,76.5
6:00,77.01
6:15,82.15
6:30,82.27
6:45,81.63
7:00,81.32
7:15,79.57
7:30,78.58
7:45,78.87
8:00,78.23
8:15,77.45
8:30,80.63
8:45,81.39
9:00,87.79
9:15,86.03
9:30,81.51
9:45,82.73
10:00,84.63
10:15,84.44
10:30,84.81
10:45,84.32
11:00,85.25
11:15,85.29
11:30,84.74
11:45,84.06
12:00,84.23
12:15,84.4
12:30,82.95
12:45,89.68
13:00,84.89
13:15,86.05
13:30,84.49
13:45,88.57
14:00,88.37
14:15,88.28
14:30,90.16
14:45,89.53
15:00,90.06
15:15,88.39
15:30,87.92
15:45,87.83
16:00,89.12
16:15,89.2
16:30,89.56
16:45,89.56
17:00,89.52
17:15,91.15
17:30,90.89
17:45,89.07
18:00,89.33
18:15,88.68
18:30,89.03
18:45,90.26
19:00,91.98
19:15,96.12
19:30,96.01
19:45,94.51
20:00,93.51
20:15,92.9
20:30,92.61
20:45,84.58
21:00,87.56
21:15,87.57
21:30,87.23
21:45,86.07
22:00,94.04
22:15,96.84
22:30,96.3
22:45,92.17
23:00,91.78
23:15,91.28
23:30,87.42
23:45,85.93
