Category,Krabi
0:00,77.32
0:15,75.87
0:30,74.57
0:45,73.31
1:00,74.36
1:15,73.49
1:30,73.58
1:45,71.56
2:00,69.92
2:15,69.78
2:30,69.67
2:45,76.37
3:00,68.86
3:15,70.38
3:30,70.44
3:45,69.14
4:00,69.04
4:15,69.4
4:30,70
4:45,69.3
5:00,71.23
5:15,69.68
5:30,70.16
5:45,70.44
6:00,70.87
6:15,75.73
6:30,76.26
6:45,75.47
7:00,75.03
7:15,76.25
7:30,75.97
7:45,75.91
8:00,76.28
8:15,77.56
8:30,80.45
8:45,81.25
9:00,83.43
9:15,79.9
9:30,82.08
9:45,81.59
10:00,85.48
10:15,85.24
10:30,87
10:45,87.36
11:00,86.57
11:15,86.98
11:30,85.73
11:45,87.96
12:00,87.42
12:15,85.63
12:30,85.63
12:45,86.35
13:00,86.73
13:15,88.43
13:30,88.21
13:45,88.99
14:00,88.8
14:15,87.93
14:30,88.2
14:45,91.3
15:00,87.83
15:15,87.79
15:30,89.5
15:45,89.03
16:00,88.73
16:15,91.04
16:30,90.93
16:45,91.07
17:00,91.1
17:15,90.98
17:30,90.91
17:45,92.53
18:00,90.57
18:15,93.91
18:30,93.09
18:45,93.88
19:00,93.43
19:15,94.81
19:30,94.42
19:45,93.86
20:00,93.2
20:15,90.33
20:30,90.23
20:45,89.95
21:00,87.46
21:15,87.5
21:30,87.33
21:45,87.17
22:00,90.06
22:15,89.52
22:30,88.21
22:45,87.03
23:00,87.42
23:15,87
23:30,82.56
23:45,82.35
