Category,Krabi
0:00,77.88
0:15,72.26
0:30,72.44
0:45,71.83
1:00,70.4
1:15,66.09
1:30,65.79
1:45,65.81
2:00,67.9
2:15,65.16
2:30,65
2:45,63.36
3:00,63.06
3:15,56.25
3:30,55.61
3:45,55.43
4:00,62.28
4:15,63.7
4:30,64.94
4:45,62.78
5:00,62.72
5:15,63.05
5:30,56.43
5:45,64.04
6:00,67.8
6:15,63.42
6:30,71.64
6:45,73.54
7:00,74.6
7:15,75.53
7:30,74.45
7:45,73.09
8:00,71.82
8:15,71.01
8:30,72.55
8:45,76.3
9:00,77.07
9:15,77.74
9:30,77.53
9:45,84.02
10:00,83.88
10:15,81.32
10:30,80.95
10:45,84.93
11:00,84.51
11:15,85.11
11:30,84.56
11:45,85.05
12:00,85.25
12:15,85.07
12:30,84.71
12:45,83.78
13:00,84.1
13:15,84.24
13:30,85.67
13:45,85.43
14:00,85.43
14:15,85.43
14:30,85.43
14:45,87.17
15:00,86.83
15:15,87.28
15:30,87.88
15:45,87.49
16:00,87.59
16:15,88.05
16:30,87.2
16:45,89.67
17:00,87.27
17:15,87.67
17:30,88.48
17:45,87.96
18:00,87.63
18:15,92.13
18:30,92.29
18:45,97.06
19:00,97.61
19:15,95.53
19:30,95.9
19:45,94.31
20:00,94.63
20:15,94.61
20:30,94.52
20:45,91.07
21:00,91.25
21:15,91.02
21:30,91.1
21:45,86.92
22:00,91.18
22:15,93.13
22:30,92.75
22:45,92.89
23:00,89.33
23:15,89.05
23:30,85.84
23:45,84.86
