Category,Krabi
0:00,102.01
0:15,101.89
0:30,101.48
0:45,97.26
1:00,97.56
1:15,97.05
1:30,96.75
1:45,96.59
2:00,96.43
2:15,92.45
2:30,92.51
2:45,92.43
3:00,92.3
3:15,91.94
3:30,92
3:45,91.91
4:00,91.99
4:15,91.95
4:30,92
4:45,92.31
5:00,92.45
5:15,92.75
5:30,92.63
5:45,92.68
6:00,93.33
6:15,93.88
6:30,93.92
6:45,91.11
7:00,96.95
7:15,96.46
7:30,95.99
7:45,94.83
8:00,94.28
8:15,94.82
8:30,99.37
8:45,102.16
9:00,103.35
9:15,100.79
9:30,101.15
9:45,101.22
10:00,103.53
10:15,99.58
10:30,94.13
10:45,94.51
11:00,94.48
11:15,94.04
11:30,94.28
11:45,94.72
12:00,94.85
12:15,96.16
12:30,96.26
12:45,96.33
13:00,96.61
13:15,96.95
13:30,97.61
13:45,97.67
14:00,97.99
14:15,98
14:30,99.55
14:45,99.7
15:00,98.18
15:15,97.2
15:30,94.52
15:45,92.1
16:00,98.05
16:15,96.9
16:30,96.79
16:45,96.69
17:00,96.41
17:15,96.97
17:30,96.94
17:45,97.22
18:00,97.65
18:15,93.48
18:30,94.01
18:45,97.59
19:00,100.94
19:15,101.4
19:30,101.76
19:45,100.28
20:00,100.47
20:15,99.84
20:30,99.94
20:45,100.5
21:00,99.77
21:15,99.76
21:30,99.16
21:45,99.15
22:00,103.06
22:15,103.25
22:30,100.64
22:45,100.41
23:00,99.73
23:15,100.73
23:30,96.36
23:45,96.03
