Category,Krabi
0:00,88.24
0:15,84.15
0:30,83.87
0:45,83.88
1:00,83.25
1:15,83.34
1:30,79.34
1:45,78.91
2:00,79.23
2:15,79.22
2:30,78.9
2:45,79.17
3:00,79.06
3:15,78.93
3:30,78.87
3:45,73.45
4:00,73.61
4:15,73.54
4:30,73.63
4:45,73.63
5:00,73.85
5:15,73.92
5:30,74.36
5:45,74.76
6:00,76.2
6:15,76.27
6:30,81.47
6:45,81.92
7:00,81.76
7:15,81.36
7:30,81.16
7:45,80.34
8:00,72.76
8:15,72.65
8:30,72.81
8:45,78.72
9:00,82.23
9:15,80.45
9:30,79.55
9:45,83.69
10:00,87.28
10:15,86.49
10:30,86.23
10:45,84.74
11:00,83.1
11:15,82.29
11:30,82.43
11:45,82.71
12:00,83.11
12:15,83.25
12:30,82.77
12:45,83.12
13:00,82.3
13:15,82.35
13:30,82.48
13:45,82.42
14:00,82.1
14:15,82.29
14:30,82.66
14:45,82.39
15:00,86.88
15:15,87.86
15:30,85.88
15:45,85.56
16:00,85.28
16:15,85.24
16:30,85.13
16:45,85.63
17:00,85.39
17:15,85.24
17:30,86.09
17:45,85.89
18:00,86.77
18:15,88.24
18:30,88.23
18:45,88.86
19:00,94.79
19:15,96.36
19:30,95.53
19:45,96.68
20:00,98.25
20:15,97.11
20:30,96.5
20:45,96.53
21:00,92.36
21:15,91.58
21:30,91.57
21:45,91.21
22:00,94.08
22:15,93.11
22:30,92.72
22:45,90.62
23:00,92.24
23:15,87.48
23:30,87.34
23:45,87.32
